head	essay_frequency	syn_tails	syn_neighbors
昨晚	2135	5	前夕,前夜,尋晚,昨夜,琴晚
次序	2135	11	主次,先來後到,先後,序,排列次序
歲月	2135	18	光陰,工夫,年光,年月,年華
江湖	2135	25	下方,世間,人世,人間,凡
派對	2135	42	人大,冬運會,午餐會,博覽會,嘉年華會
源頭	2135	6	搖籃,源,源流,發源地,發祥地
犯法	2135	11	不軌,以身試法,作奸犯科,作案,冒天下之大不韙
男兒	2135	10	丈夫,士,壯漢,官人,漢
看似	2135	14	像樣,八九不離十,切近,好像,彷彿
睡覺	2135	10	上牀,困,安息,安歇,寐
示威	2135	6	批鬥,絕食,總罷工,自焚,請願
紳士	2135	3	士紳,縉,鄉紳
老友	2135	8	故交,故人,故舊,老朋友,舊
致命	2135	4	殊死,決死,沉重,浴血
蜜糖	2135	2	蜂蜜,蜜
行事	2135	13	一言一行,作為,做事,勞作,工作
裝置	2135	10	安,安裝,安設,裝,裝備
親王	2135	5	公爵,攝政王,王公,王爺,諸侯
言論	2135	4	發言,談話,論,議論
詞語	2135	3	用語,辭,辭藻
賭場	2135	2	賭窟,賭窩
通話	2135	1	打電話
進度	2135	4	快,快慢,速,速度
道具	2135	21	交通工具,化裝,場記,廚具,效果
閣下	2135	3	同志,足下,駕
霧氣	2135	3	氛,霧,霧靄
食指	2135	11	丁,二拇指,人,人丁,人口
驚動	2135	12	侵擾,幹擾,打擾,打攪,搗亂
商機	2134	4	可乘之機,天時地利,生機,良機
績效	2126	9	實效,工效,時效,療效,肥效
杯子	2125	4	杯,海,盅,盞
憑證	2124	11	信,信物,左證,憑,憑信
英寸	2123	3	碼,英尺,英里
經紀人	2120	10	商,商人,商户,商販,商賈
電子郵件	2118	1	電郵
價值觀	2117	5	傳統,思想意識,歷史觀,絕對觀念,觀念
長達	2114	9	久,修,修長,條,永
分局	2113	11	司,室,局,廳,科
獲獎	2107	2	受獎,得獎
協作	2106	4	合作,搭夥,搭檔,通力合作
服務員	2105	6	侍應生,侍者,夥計,女招待,招待員
複印件	2103	1	抄件
京城	2101	9	上京,京,京師,京都,北京
研究院	2101	12	上議院,下議院,下院,參議院,國務院
先是	2099	3	率先,第一,首先
甘肅	2098	29	內蒙古,台灣,吉林,四川,安徽
信貸	2096	24	信用,債款,價款,分期付款,匯款
蒸汽	2096	5	水汽,水蒸氣,水蒸汽,汽,蒸氣
綠化	2095	49	出版業,副業,化工,印刷業,土建
載體	2095	6	載人,載客,載波,載貨,載運
琢磨	2094	56	切磋琢磨,刻,勒,動腦筋,參酌
老年人	2094	14	叟,父,翁,老,老人
長安	2094	115	上海,亳,仰光,佛山,倫敦
着力	2093	35	一力,不遺餘力,中堅,中心,主導
論證	2091	3	實證,立據,論據
保姆	2084	6	女傭,女僕,媽,孃姨,老媽子
在外	2081	2	在內,在前
既是	2079	2	既,既然
標準化	2075	18	原則,口徑,基準,尺度,尺碼
顆粒	2067	3	砟,粒,豆子
