rank	head	essay_frequency	syn_tails	syn_neighbors
257	殘留	1690	8	剩,殘存,殘餘,留
258	水池	1690	4	泳池,養魚池,魚池,鹽池
259	汗水	1690	4	汗,汗珠,汗珠子,津
260	照射	1690	11	射,投,投射,映射
261	牙籤	1690	17	九鼎,分子篩,卮,坩堝
262	獎品	1690	1	獎
263	環顧	1690	4	圍觀,掃描,掃視,環視
264	男士	1690	10	丈夫,士,壯漢,官人
265	界線	1690	18	分界,分野,地界,垠
266	當地	1690	5	地方,地面,地頭,本土
267	白虎	1690	1	美洲虎
268	監管	1690	5	共管,套管,接管,經管
269	着數	1690	3	招,招數,路數
270	穿梭	1690	27	不了,不休,不住,不停
271	簽名	1690	7	具名,簽字,簽約,簽署
272	膠水	1690	7	印油,回形針,大頭針,橡皮
273	舌尖	1690	1	刀尖
274	蜘蛛	1690	2	蛛,蛛蛛
275	血水	1690	3	血,血流,血液
276	血統	1690	2	血緣,血脈
277	裂開	1690	17	分裂,坼,披,皴
278	親吻	1690	4	吻,接吻,親,親嘴
279	觀念	1690	5	傳統,價值觀,思想意識,歷史觀
280	豬朋狗友	1690	1	狐朋狗友
281	貫穿	1690	5	縱貫,貫,貫串,貫通
282	質量	1690	6	品質,成色,色,質
283	走火	1690	4	失慎,失火,發火,起火
284	軍校	1690	2	軍事學校,軍官學校
285	轉動	1690	12	兜,團團轉,打轉,擰轉
286	轉化	1690	10	中轉,倒車,轉向,轉折
287	近況	1690	5	市況,戰況,現況,盛況
288	逗留	1690	14	停,停留,勾留,待
289	過問	1690	2	干涉,幹預
290	道謝	1690	10	感,感恩戴德,感謝,璧謝
291	道路	1690	12	徑,程,衢,路
292	遠遠	1690	21	不遠千里,十萬八千里,千山萬水,千里迢迢
293	金黃	1690	1	金色
294	隨後	1690	30	下,之後,事後,今後
295	雙臂	1690	10	上肢,前肢,手臂,肱
296	靈機	1690	10	心力,心機,心血,枯腸
297	韓國	1690	156	不丹,中非共和國,丹麥,也門
298	音響	1690	11	動靜,濤,籟,聲
299	骨折	1690	4	擦傷,輕傷,骨痹,鼻青臉腫
300	高低	1690	18	上下,優劣,分寸,大大小小
301	工作者	1687	2	勞力,勞動力
302	蒐集	1687	13	募,募集,徵集,採
303	輪迴	1685	4	大循環,巡迴,循環,週而復始
304	科室	1683	40	候機室,候診室,候車室,分局
305	總計	1683	16	一共,一總,一起,共
306	公車	1682	13	名車,夜車,守車,專車
307	致富	1682	14	創匯,夠本,扭虧為盈,掙
308	看樣子	1681	28	察看,張,探望,收看
309	入庫	1680	5	入場,入境,入夜,入室
310	射門	1680	2	盤球,遠射
311	葡萄酒	1680	32	一品紅,二鍋頭,五糧液,伏特加
312	看成	1679	10	作,作為,同日而語,用作
313	不可避免	1678	2	在所難免,無可避免
314	摺疊	1678	4	佴,折,沁,疊
315	涵蓋	1678	21	包含,包孕,包藴,含
316	直觀	1678	1	宏觀
317	改制	1677	29	切換,反手,喬裝打扮,換人
318	本着	1676	11	對,對準,指向,挨
319	玩兒	1674	16	作弄,嘲弄,惡作劇,愚
320	發售	1673	11	出售,出賣,售,售賣
321	長假	1672	16	事假,例假,公休,公假
322	多方	1669	6	多方面,多邊,多頭,大端
323	便捷	1668	43	便,便利,便當,全速
324	搞到	1668	1	整到
325	配送	1667	2	配有,配給
326	再不	1665	7	不再,不然,以便,否則
327	商用	1657	28	並用,代用,備用,公用
328	貨款	1657	23	信用,信貸,債款,價款
329	選取	1657	21	卜,取捨,抉擇,披沙揀金
330	開辦	1657	9	立,興辦,舉辦,設
331	遺址	1656	3	原址,新址,舊址
332	市中心	1654	5	中環,南區,市郊,近郊
333	國債	1651	4	三角債,內債,公債,外債
334	專業化	1651	67	一致性,乳化,二重性,人性化
335	儘早	1650	16	不久,儘先,儘快,及早
336	洽談	1650	47	人大,冬運會,午餐會,博覽會
337	聆聽	1650	5	傾聽,洗耳恭聽,聆,聆取
338	路段	1650	3	河段,沿途,波段
339	替補	1647	4	候補,增刪,挖補,遞補
340	充電器	1645	82	傳感器,冷卻器,分配器,加速器
341	負載	1642	3	荷重,負荷,載重
342	汕頭	1639	115	上海,亳,仰光,佛山
343	上個月	1638	2	上次,上週
344	完蛋	1638	55	一命嗚呼,上西天,下世,亡
345	寄託	1638	8	付託,依託,信託,委託
346	頒佈	1637	12	公佈,宣佈,宣告,披露
347	隨筆	1635	1	漫筆
348	博覽會	1634	42	人大,冬運會,午餐會,嘉年華會
349	中小學	1633	17	人大,保育院,分校,劍橋
350	方便麪	1630	10	冷麪,壽麪,拌麪,擔擔麪
351	商貿	1629	6	商,商業,小本經營,生意
352	杜絕	1627	13	一掃而光,一掃而空,剪草除根,堵塞
353	機體	1627	1	有機體
354	華盛頓	1626	127	上海,亳,仰光,伊斯坦布爾
355	彩電	1622	7	冰櫃,微波爐,抽油煙機,有線電視
356	航線	1622	3	航程,航路,航道
357	合金	1617	7	有色金屬,稀有金屬,貴金屬,輕金屬
358	貪官	1617	3	貪官污吏,贓官,饕餮之徒
359	開採	1614	4	採,採掘,採礦,開礦
360	博弈	1613	5	下棋,對局,對弈,弈
361	繪製	1611	3	作圖,打樣,繪圖
362	回升	1610	17	借屍還魂,光復,和好如初,回覆
363	器件	1609	3	機件,組件,零件
364	常務	1609	17	乘務,僑務,內務,公務
365	無不	1609	5	一律,一概,個個,概
366	光學	1608	82	三角學,人類學,代數學,佛學
367	差價	1608	55	代價,作價,優惠價,出價
368	幹掉	1608	7	剌,弒,殛,殺
369	蒼蠅	1608	1	蠅
370	噪聲	1605	1	噪音
371	水稻	1604	6	稻,稻子,稻穀,穀子
372	年年	1602	2	歷年,每年
373	一連串	1601	33	一系列,不一而足,不勝枚舉,不可勝數
374	下顎	1601	2	下巴,下頜
375	不成	1601	27	不善,不好,不妙,不良
376	事到如今	1601	1	事已至此
377	信仰	1601	11	信,信奉,信教,奉
378	側身	1601	5	存身,廁足,廁身,投身
379	偷走	1601	13	偷,偷盜,偷竊,小偷小摸
380	傷風	1601	4	受寒,受涼,感冒,着涼
381	兩者	1601	10	兩,兩岸,兩手,兩邊
382	冰山	1601	5	乾冰,冰排,冰晶,堅冰
383	勇者	1601	5	大丈夫,猛士,硬漢,硬骨頭
384	卡通	1601	4	動畫,動畫片,卡通片,漫畫
385	器材	1601	6	傢什,器,器具,器械
386	回程	1601	2	歸程,規程
387	大路	1601	7	坦途,大道,康莊大道,通路
388	完人	1601	17	先知,先知先覺,哲,哲人
389	定義	1601	2	概念,界説
390	就讀	1601	1	師從
391	局面	1601	20	事態,事機,勢派,圈
392	手巾	1601	6	冪,巾,帕,手帕
393	扮演	1601	9	串,串演,去,扮
394	擂台	1601	17	主席台,前台,塔台,展台
395	擔任	1601	10	任,做,充,充任
396	教徒	1601	2	信徒,善男信女
397	斧頭	1601	2	斧,斧子
398	日期	1601	1	日子
399	樹幹	1601	3	幹,株,樹身
400	樹枝	1601	5	果枝,桂枝,橄欖枝,花枝
401	歌曲	1601	2	曲,歌
402	水泡	1601	1	漚
403	沉船	1601	4	出軌,失事,脱軌,觸礁
404	法文	1601	7	德文,拉丁文,日文,漢文
405	渴求	1601	4	務求,求,要求,講求
406	激光	1601	22	冷光,北極光,反光,可見光
407	激情	1601	1	豪情
408	熱辣辣	1601	19	暑,暑熱,汗如雨下,汗流浹背
409	燒賣	1601	10	三明治,春捲,椰蓉,粑粑
410	玩笑	1601	3	噱頭,戲言,笑話
411	環節	1601	1	環
412	畫家	1601	1	畫師
413	疑似	1601	1	似是而非
414	疼痛	1601	6	作痛,火辣辣,疼,痛
415	發問	1601	11	叩,叩問,問,問訊
416	白費	1601	1	枉費
417	盔甲	1601	7	戎裝,披掛,甲冑,裝甲
418	相片	1601	5	像,影,照,照片
419	符號	1601	6	標記,標誌,符,號
420	等候	1601	11	伺機,佇候,俟,候
421	糾纏	1601	15	嬲,死氣白賴,死皮賴臉,泡蘑菇
422	純情	1601	11	動人,可人,可喜,可愛
423	翻轉	1601	12	反過來,回,扭,扭動
424	自稱	1601	2	自命,自封
425	色情	1601	13	情竇初開,春心,春情,春意
426	茶花	1601	1	山茶
427	落下	1601	7	墜落,墮,掉,掉落
428	融入	1601	2	交融,相容
429	蠟筆	1601	22	亳,光筆,兔毫,兼毫
430	行禮	1601	4	敬禮,施禮,有禮,致敬
431	衝力	1601	6	動力,威力,潛力,潛能
432	記載	1601	2	記事,記敍
433	調頭	1601	2	格調,調子
434	變臉	1601	3	一反常態,翻臉,變色
435	跨過	1601	5	橫亙,橫跨,跨,跨步
436	躲避	1601	16	畏避,規避,躲閃,躲開
437	軸承	1601	5	滾動軸承,滾柱軸承,滾珠軸承,球軸承
438	送禮	1601	1	送人情
439	逐一	1601	18	一一,以次,依次,各個
440	過火	1601	6	忒,矯枉過正,過分,過度
441	釣魚	1601	2	垂釣,釣
442	銀色	1601	1	銀灰
443	難題	1601	9	偏題,困難,艱,苦事
444	面臨	1601	24	丁,中,備受,受
445	頭盔	1601	7	冕,冠,冠冕,帽
446	高舉	1601	3	揚,揭,飛騰
447	鯊魚	1601	2	鮫,鯊
448	鯨魚	1601	1	鯨
449	鼻血	1601	1	尿血
450	炎症	1600	2	炎,炎性反應
451	電容	1600	1	庫容
452	莫斯科	1596	127	上海,亳,仰光,伊斯坦布爾
453	電廠	1596	18	修配廠,兵工廠,加工廠,化工廠
454	下崗	1595	5	失業,待業,無業,砸飯碗
455	南非	1595	13	中亞,中南,中巴,中歐
456	來信	1594	7	上書,來函,來鴻,修函
457	反過來	1594	13	回,扭,扭動,扭曲
458	發揚	1594	5	伸張,弘揚,恢弘,揚
459	大臣	1593	7	大員,當道,達官,達官貴人
460	貨運	1592	16	倒運,偷運,客運,搶運
461	土耳其	1591	156	不丹,中非共和國,丹麥,也門
462	本子	1591	13	冊,冊子,劇本,小冊子
463	滯後	1591	10	倒退,向下,後退,掉隊
464	唐山	1590	115	上海,亳,仰光,佛山
465	視圖	1590	19	交通圖,分佈圖,剖視圖,剖面圖
466	退款	1588	1	退税
467	客車	1587	9	公交車,公共汽車,大客車,山地車
468	華南	1587	9	內蒙古自治區,大西北,晉察冀,江北
469	在校	1585	2	在家,在教
470	創始人	1582	6	不祧之祖,元老,奠基者,祖師
471	鬼子	1582	2	洋鬼子,老外
472	浪潮	1578	3	大潮,潮,風潮
473	武警	1577	2	武裝警察,武警戰士
474	主題曲	1576	15	主題歌,九九歌,凱歌,國歌
475	職稱	1575	6	簡稱,統稱,職銜,通稱
476	被告人	1575	2	被上訴人,被告
477	不見得	1574	4	不一定,不至於,不致於,未必
478	聯網	1573	21	交接,對接,屬,接
479	增長率	1572	45	佔有率,入學率,利率,勞動生產率
480	板子	1572	5	夾棍,板,械,老虎凳
481	神經病	1572	3	狂人,瘋子,精神病
482	中學生	1571	10	初中生,大學生,大專生,實習生
483	非得	1571	12	不能不,務,務必,務須
484	師範	1565	3	師範大學,師範學校,為人師表
485	巨星	1563	12	先達,名人,名士,名家
486	前沿	1562	5	前敵,前方,前線,戰線
487	亮度	1561	41	傾斜度,光照度,剛度,力度
488	延期	1561	11	展緩,延,延緩,延遲
489	耕地	1561	14	佃,土地,地,大田
490	建國	1560	2	立國,開國
491	封殺	1556	12	仇殺,姦殺,慘殺,槍殺
492	鴿子	1556	1	鴿
493	信託	1553	6	付託,委託,寄,寄託
494	矩陣	1552	4	八卦陣,敵陣,方陣,點陣
495	置業	1552	4	建功立業,成家立業,立户,立業
496	趨於	1552	2	趨,趨向
497	難點	1552	6	困難,艱,難,難處
498	出遊	1551	13	周遊,巡禮,巡遊,旅遊
499	酸奶	1551	6	煉乳,牛乳,牛奶,豆奶
500	信訪	1549	8	互訪,來訪,出訪,家訪
