literal	pos	family	voice	note	trust	verdict	fix_pos	audit_note
米飯	n			u-inlex-nf2k;review;agent-label	high	OK		
粒聲	n			u-inlex-nf2k;review;agent-label	high	OK		
素養	n			u-inlex-nf2k;review;agent-label	high	OK		
經已	r			u-inlex-nf2k;review;agent-label	high	OK		
網格	n			u-inlex-nf2k;review;agent-label	high	OK		
耳筒	n			u-inlex-nf2k;review;agent-label	high	OK		
耶	x			u-inlex-nf2k;review;agent-label	high	OK		
耶和華	n			u-inlex-nf2k;review;agent-label	high	OK		
聊天	n,v			u-inlex-nf2k;review;agent-label	high	OK		
胸肌	n			u-inlex-nf2k;review;agent-label	high	OK		
荷花	n			u-inlex-nf2k;review;agent-label	high	OK		
葵涌	n			u-inlex-nf2k;review;agent-label	high	OK		
蔥	n			u-inlex-nf2k;review;agent-label	high	OK		
視圖	n			u-inlex-nf2k;review;agent-label	high	OK		
評議	n,v			u-inlex-nf2k;review;agent-label	high	OK		
警覺	a,n,v			u-inlex-nf2k;review;agent-label	high	OK		
豐富多彩	a	idiom		u-inlex-nf2k;review;agent-label	high	OK		
貫穿	v			u-inlex-nf2k;review;agent-label	high	OK		
費時	a,v			u-inlex-nf2k;review;agent-label	high	OK		
起上嚟	v			u-inlex-nf2k;review;agent-label	high	OK		
車子	n			u-inlex-nf2k;review;agent-label	high	OK		
軍區	n			u-inlex-nf2k;review;agent-label	high	OK		
轉速	n			u-inlex-nf2k;review;agent-label	high	OK		
連帶	a,v			u-inlex-nf2k;review;agent-label	high	OK		
雙面	a,n			u-inlex-nf2k;review;agent-label	high	OK		
飛碟	n			u-inlex-nf2k;review;agent-label	high	OK		
高產	a,n			u-inlex-nf2k;review;agent-label	high	OK		
鬥地主	n,v			u-inlex-nf2k;review;agent-label	high	OK		
點好	r,x			u-inlex-nf2k;review;agent-label	high	OK		
