batch_id	head	reason
post-syn-ant-ring5k10k-b01-20260718	大豆	no_gradable_opposite
post-syn-ant-ring5k10k-b02-20260718	椰子	no_gradable_opposite
post-syn-ant-ring5k10k-b04-20260718	側身	no_gradable_opposite
post-syn-ant-ring5k10k-b05-20260718	科普	no_gradable_opposite
post-syn-ant-ring5k10k-b01-20260718	賭場	no_gradable_opposite
post-syn-ant-ring5k10k-b05-20260718	東盟	no_gradable_opposite
post-syn-ant-ring5k10k-b03-20260718	明日	no_gradable_opposite
post-syn-ant-ring5k10k-b04-20260718	軸承	no_gradable_opposite
post-syn-ant-ring5k10k-b04-20260718	好友	no_gradable_opposite
post-syn-ant-ring5k10k-b04-20260718	燒賣	no_gradable_opposite
post-syn-ant-ring5k10k-b05-20260718	藝術品	no_gradable_opposite
post-syn-ant-ring5k10k-b04-20260718	收養	no_gradable_opposite
post-syn-ant-ring5k10k-b04-20260718	鐵路	no_gradable_opposite
post-syn-ant-ring5k10k-b05-20260718	參與者	no_gradable_opposite
post-syn-ant-ring5k10k-b05-20260718	電器	no_gradable_opposite
post-syn-ant-ring5k10k-b01-20260718	擅長	no_gradable_opposite
post-syn-ant-ring5k10k-b03-20260718	號召	no_gradable_opposite
post-syn-ant-ring5k10k-b03-20260718	發狂	no_gradable_opposite
post-syn-ant-ring5k10k-b05-20260718	兩旁	no_gradable_opposite
post-syn-ant-ring5k10k-b04-20260718	教徒	no_gradable_opposite
post-syn-ant-ring5k10k-b03-20260718	診所	no_gradable_opposite
post-syn-ant-ring5k10k-b02-20260718	奈何	no_gradable_opposite
post-syn-ant-ring5k10k-b06-20260718	句號	no_gradable_opposite
post-syn-ant-ring5k10k-b01-20260718	載體	no_gradable_opposite
post-syn-ant-ring5k10k-b05-20260718	扶貧	no_gradable_opposite
post-syn-ant-ring5k10k-b05-20260718	嫦娥	no_gradable_opposite
post-syn-ant-ring5k10k-b04-20260718	嫂子	no_gradable_opposite
post-syn-ant-ring5k10k-b04-20260718	遏制	no_gradable_opposite
post-syn-ant-ring5k10k-b04-20260718	信託	no_gradable_opposite
post-syn-ant-ring5k10k-b04-20260718	記載	no_gradable_opposite
post-syn-ant-ring5k10k-b02-20260718	局長	no_gradable_opposite
post-syn-ant-ring5k10k-b05-20260718	自治	no_gradable_opposite
post-syn-ant-ring5k10k-b05-20260718	油耗	no_gradable_opposite
post-syn-ant-ring5k10k-b05-20260718	有效期	no_gradable_opposite
post-syn-ant-ring5k10k-b05-20260718	總價	no_gradable_opposite
post-syn-ant-ring5k10k-b05-20260718	規範化	no_gradable_opposite
post-syn-ant-ring5k10k-b01-20260718	派對	no_gradable_opposite
post-syn-ant-ring5k10k-b05-20260718	作嘔	no_gradable_opposite
post-syn-ant-ring5k10k-b05-20260718	學子	no_gradable_opposite
post-syn-ant-ring5k10k-b06-20260718	北海道	no_gradable_opposite
post-syn-ant-ring5k10k-b04-20260718	航天	no_gradable_opposite
post-syn-ant-ring5k10k-b05-20260718	科目	no_gradable_opposite
post-syn-ant-ring5k10k-b06-20260718	地毯	no_gradable_opposite
