head	tail	relation_type	batch_id
唔緊要	不要緊	syn	syn-top5000-b01-20260718
幾好	不錯	syn	syn-top5000-b01-20260718
無啦啦	平白	syn	syn-top5000-b01-20260718
睇嚟	看來	syn	syn-top5000-b01-20260718
鎖匙	鑰匙	syn	syn-top5000-b01-20260718
出街	上街	syn	syn-top5000-b01-20260718
試過	嘗試	syn	syn-top5000-b01-20260718
依度	這裏	syn	syn-top5000-b01-20260718
身邊	身旁	syn	syn-top5000-b01-20260718
幾時	何時	syn	syn-top5000-b01-20260718
女朋友	女友	syn	syn-top5000-b01-20260718
等等	之類	syn	syn-top5000-b01-20260718
電視	電視機	syn	syn-top5000-b01-20260718
是不是	是否	syn	syn-top5000-b01-20260718
大聲	高聲	syn	syn-top5000-b01-20260718
火車	列車	syn	syn-top5000-b01-20260718
蚊	蚊子	syn	syn-top5000-b01-20260718
雪糕	冰糕	syn	syn-top5000-b01-20260718
那裏	那邊	syn	syn-top5000-b01-20260718
早餐	早飯	syn	syn-top5000-b01-20260718
襪	襪子	syn	syn-top5000-b01-20260718
旅行	旅遊	syn	syn-top5000-b01-20260718
放學	下課	syn	syn-top5000-b01-20260718
駛	需要	syn	syn-top5000-b01-20260718
錫	吻	syn	syn-top5000-b01-20260718
戴	佩戴	syn	syn-top5000-b01-20260718
嘢	東西	syn	syn-top5000-b01-20260718
真係	真的	syn	syn-top5000-b01-20260718
係咪	是否	syn	syn-top5000-b01-20260718
點知	豈料	syn	syn-top5000-b01-20260718
唔通	難道	syn	syn-top5000-b01-20260718
轉身	掉頭	syn	syn-top5000-b01-20260718
所謂	號稱	syn	syn-top5000-b01-20260718
心諗	心想	syn	syn-top5000-b01-20260718
抌	扔	syn	syn-top5000-b01-20260718
喪屍	殭屍	syn	syn-top5000-b01-20260718
唔到	不到	syn	syn-top5000-b01-20260718
只不過	只是	syn	syn-top5000-b02-20260718
耳仔	耳朵	syn	syn-top5000-b02-20260718
條女	女孩	syn	syn-top5000-b02-20260718
拍拖	戀愛	syn	syn-top5000-b02-20260718
點鐘	鐘點	syn	syn-top5000-b02-20260718
屋企人	家人	syn	syn-top5000-b02-20260718
核突	難看	syn	syn-top5000-b02-20260718
對面	對門	syn	syn-top5000-b02-20260718
琴晚	昨晚	syn	syn-top5000-b02-20260718
坐低	坐下	syn	syn-top5000-b02-20260718
講真	説實話	syn	syn-top5000-b02-20260718
細細聲	小聲	syn	syn-top5000-b02-20260718
腦海	腦際	syn	syn-top5000-b02-20260718
機場	飛機場	syn	syn-top5000-b02-20260718
有事	出事	syn	syn-top5000-b02-20260718
琴日	昨天	syn	syn-top5000-b02-20260718
細個	小時候	syn	syn-top5000-b02-20260718
乜嘢	什麼	syn	syn-top5000-b02-20260718
天晴	晴天	syn	syn-top5000-b02-20260718
陣間	待會兒	syn	syn-top5000-b02-20260718
對話	會話	syn	syn-top5000-b02-20260718
麵包	麪包	syn	syn-top5000-b02-20260718
再講	再説	syn	syn-top5000-b02-20260718
梳化	沙發	syn	syn-top5000-b02-20260718
答案	答覆	syn	syn-top5000-b02-20260718
第二個	其它	syn	syn-top5000-b02-20260718
伸出	伸手	syn	syn-top5000-b02-20260718
有沒有	是否	syn	syn-top5000-b02-20260718
上嚟	上來	syn	syn-top5000-b02-20260718
讚	稱讚	syn	syn-top5000-b02-20260718
傾計	聊天	syn	syn-top5000-b02-20260718
屬於	屬	syn	syn-top5000-b02-20260718
特登	故意	syn	syn-top5000-b02-20260718
裡面	裏面	syn	syn-top5000-b02-20260718
課室	教室	syn	syn-top5000-b02-20260718
碟	碟子	syn	syn-top5000-b02-20260718
紙巾	面紙	syn	syn-top5000-b02-20260718
落嚟	下來	syn	syn-top5000-b02-20260718
唔多	少	syn	syn-top5000-b02-20260718
唔錯	不錯	syn	syn-top5000-b02-20260718
馬騮	猴子	syn	syn-top5000-b02-20260718
留低	留下	syn	syn-top5000-b02-20260718
再見	再會	syn	syn-top5000-b02-20260718
嗰陣	那時	syn	syn-top5000-b02-20260718
裏便	裏面	syn	syn-top5000-b02-20260718
大嗌	大叫	syn	syn-top5000-b02-20260718
總係	總是	syn	syn-top5000-b02-20260718
仲未	尚未	syn	syn-top5000-b02-20260718
姊妹	姐妹	syn	syn-top5000-b02-20260718
阿叔	叔叔	syn	syn-top5000-b02-20260718
打電話	通話	syn	syn-top5000-b02-20260718
搞掂	辦妥	syn	syn-top5000-b02-20260718
人哋	人家	syn	syn-top5000-b02-20260718
盡量	儘量	syn	syn-top5000-b02-20260718
視頻	影片	syn	syn-top5000-b02-20260718
枕頭	枕	syn	syn-top5000-b02-20260718
冇問題	無妨	syn	syn-top5000-b02-20260718
嗰時	那時	syn	syn-top5000-b02-20260718
影相	拍照	syn	syn-top5000-b02-20260718
第一次	首次	syn	syn-top5000-b02-20260718
細聲	小聲	syn	syn-top5000-b02-20260718
等陣	稍等	syn	syn-top5000-b02-20260718
失望	沮喪	syn	syn-top5000-b02-20260718
行埋	走近	syn	syn-top5000-b02-20260718
埋嚟	過來	syn	syn-top5000-b02-20260718
生果	水果	syn	syn-top5000-b02-20260718
幾耐	多久	syn	syn-top5000-b02-20260718
聽過	聽聞	syn	syn-top5000-b02-20260718
衰人	壞人	syn	syn-top5000-b02-20260718
提子	葡萄	syn	syn-top5000-b02-20260718
傻仔	傻瓜	syn	syn-top5000-b02-20260718
唔舒服	難受	syn	syn-top5000-b02-20260718
好靚	漂亮	syn	syn-top5000-b02-20260718
條友	傢伙	syn	syn-top5000-b02-20260718
消防員	救火員	syn	syn-top5000-b02-20260718
銀包	錢包	syn	syn-top5000-b02-20260718
香蕉	蕉	syn	syn-top5000-b02-20260718
橙汁	果汁	syn	syn-top5000-b02-20260718
講笑	開玩笑	syn	syn-top5000-b02-20260718
拖鞋	涼鞋	syn	syn-top5000-b02-20260718
就快	快要	syn	syn-top5000-b02-20260718
石頭	石	syn	syn-top5000-b02-20260718
第二日	翌日	syn	syn-top5000-b02-20260718
擰轉	轉動	syn	syn-top5000-b02-20260718
將會	即將	syn	syn-top5000-b02-20260718
氹	哄	syn	syn-top5000-b02-20260718
醉	醺	syn	syn-top5000-b02-20260718
雀仔	小鳥	syn	syn-top5000-b02-20260718
夠膽	大膽	syn	syn-top5000-b02-20260718
請問	試問	syn	syn-top5000-b02-20260718
後便	後面	syn	syn-top5000-b02-20260718
兔仔	兔子	syn	syn-top5000-b02-20260718
匙羹	湯匙	syn	syn-top5000-b02-20260718
朝早	早上	syn	syn-top5000-b02-20260718
食嘢	進食	syn	syn-top5000-b02-20260718
拳頭	拳	syn	syn-top5000-b02-20260718
諗法	想法	syn	syn-top5000-b02-20260718
雞蛋	蛋	syn	syn-top5000-b02-20260718
每日	天天	syn	syn-top5000-b02-20260718
大把	許多	syn	syn-top5000-b02-20260718
大脾	大腿	syn	syn-top5000-b02-20260718
差啲	差點	syn	syn-top5000-b02-20260718
求其	隨便	syn	syn-top5000-b02-20260718
直頭	簡直	syn	syn-top5000-b02-20260718
睇落	看來	syn	syn-top5000-b02-20260718
收埋	隱藏	syn	syn-top5000-b02-20260718
故仔	故事	syn	syn-top5000-b02-20260718
嚟到	來到	syn	syn-top5000-b02-20260718
回復	回覆	syn	syn-top5000-b02-20260718
不嬲	一向	syn	syn-top5000-b02-20260718
笑笑口	微笑	syn	syn-top5000-b02-20260718
好味	美味	syn	syn-top5000-b02-20260718
算了	罷了	syn	syn-top5000-b02-20260718
表白	剖白	syn	syn-top5000-b02-20260718
凳	凳子	syn	syn-top5000-b02-20260718
尿	小便	syn	syn-top5000-b02-20260718
視線	目光	syn	syn-top5000-b02-20260718
畫面	影像	syn	syn-top5000-b02-20260718
目的	目標	syn	syn-top5000-b02-20260718
自信	信心	syn	syn-top5000-b02-20260718
科技	技術	syn	syn-top5000-b02-20260718
印象	感覺	syn	syn-top5000-b02-20260718
鬆	放鬆	syn	syn-top5000-b02-20260718
班主任	老師	syn	syn-top5000-b02-20260718
港人	香港人	syn	syn-top5000-b02-20260718
博客	網誌	syn	syn-top5000-b02-20260718
蝦	蝦子	syn	syn-top5000-b02-20260718
桶	水桶	syn	syn-top5000-b02-20260718
舖	店舖	syn	syn-top5000-b02-20260718
指住	指向	syn	syn-top5000-b02-20260718
社工	社會工作	syn	syn-top5000-b02-20260718
下個	下一個	syn	syn-top5000-b03-20260718
唔怪得	怪不得	syn	syn-top5000-b03-20260718
明知	清楚	syn	syn-top5000-b03-20260718
粗口	髒話	syn	syn-top5000-b03-20260718
估到	料到	syn	syn-top5000-b03-20260718
仲好	還好	syn	syn-top5000-b03-20260718
做嘢	做事	syn	syn-top5000-b03-20260718
數據庫	資料庫	syn	syn-top5000-b03-20260718
好朋友	好友	syn	syn-top5000-b03-20260718
看更	守衞	syn	syn-top5000-b03-20260718
落車	下車	syn	syn-top5000-b03-20260718
細路仔	小孩	syn	syn-top5000-b03-20260718
冇用	沒用	syn	syn-top5000-b03-20260718
在線	線上	syn	syn-top5000-b03-20260718
水喉	水龍頭	syn	syn-top5000-b03-20260718
無謂	何必	syn	syn-top5000-b03-20260718
開學	開課	syn	syn-top5000-b03-20260718
夠鐘	到時	syn	syn-top5000-b03-20260718
天台	屋頂	syn	syn-top5000-b03-20260718
橙色	橘	syn	syn-top5000-b03-20260718
別的	其他	syn	syn-top5000-b03-20260718
老細	老闆	syn	syn-top5000-b03-20260718
面紅	臉紅	syn	syn-top5000-b03-20260718
阻住	阻礙	syn	syn-top5000-b03-20260718
隨住	跟着	syn	syn-top5000-b03-20260718
入嚟	進來	syn	syn-top5000-b03-20260718
還有	另外	syn	syn-top5000-b03-20260718
嘢食	食物	syn	syn-top5000-b03-20260718
這裡	這兒	syn	syn-top5000-b03-20260718
好返	好轉	syn	syn-top5000-b03-20260718
八婆	長舌婦	syn	syn-top5000-b03-20260718
第日	他日	syn	syn-top5000-b03-20260718
返轉頭	回頭	syn	syn-top5000-b03-20260718
吹水	閒聊	syn	syn-top5000-b03-20260718
怕醜	害羞	syn	syn-top5000-b03-20260718
換衫	更衣	syn	syn-top5000-b03-20260718
洗頭水	洗髮露	syn	syn-top5000-b03-20260718
點做	怎麼辦	syn	syn-top5000-b03-20260718
用於	用來	syn	syn-top5000-b03-20260718
大部份	大部分	syn	syn-top5000-b03-20260718
心裡	心裏	syn	syn-top5000-b03-20260718
遲啲	稍後	syn	syn-top5000-b03-20260718
小弟	弟弟	syn	syn-top5000-b03-20260718
肥仔	胖子	syn	syn-top5000-b03-20260718
筆記本	記事簿	syn	syn-top5000-b03-20260718
就嚟	快要	syn	syn-top5000-b03-20260718
背影	身影	syn	syn-top5000-b03-20260718
好嘢	好事	syn	syn-top5000-b03-20260718
幾點	何時	syn	syn-top5000-b03-20260718
發夢	做夢	syn	syn-top5000-b03-20260718
不知	不明	syn	syn-top5000-b03-20260718
搞笑	好笑	syn	syn-top5000-b03-20260718
擰頭	搖頭	syn	syn-top5000-b03-20260718
仔女	兒女	syn	syn-top5000-b03-20260718
傻妹	傻女	syn	syn-top5000-b03-20260718
唔捨得	捨不得	syn	syn-top5000-b03-20260718
按摩	推拿	syn	syn-top5000-b03-20260718
朝頭早	清晨	syn	syn-top5000-b03-20260718
老嘢	老人	syn	syn-top5000-b03-20260718
蝴蝶	蝶	syn	syn-top5000-b03-20260718
衰仔	壞蛋	syn	syn-top5000-b03-20260718
冇所謂	無所謂	syn	syn-top5000-b03-20260718
大隻	高大	syn	syn-top5000-b03-20260718
並無	沒有	syn	syn-top5000-b03-20260718
千祈	千萬	syn	syn-top5000-b03-20260718
尋晚	昨晚	syn	syn-top5000-b03-20260718
直情	簡直	syn	syn-top5000-b03-20260718
衣櫃	衣櫥	syn	syn-top5000-b03-20260718
不在	不在場	syn	syn-top5000-b03-20260718
交流	溝通	syn	syn-top5000-b03-20260718
太過	過於	syn	syn-top5000-b03-20260718
紫色	紫	syn	syn-top5000-b03-20260718
總有	總會	syn	syn-top5000-b03-20260718
是但	隨便	syn	syn-top5000-b03-20260718
確定	肯定	syn	syn-top5000-b03-20260718
間房	房間	syn	syn-top5000-b03-20260718
忘了	忘記	syn	syn-top5000-b03-20260718
之餘	此外	syn	syn-top5000-b03-20260718
沿住	順着	syn	syn-top5000-b03-20260718
文檔	文件	syn	syn-top5000-b03-20260718
以嚟	以來	syn	syn-top5000-b03-20260718
停低	停下	syn	syn-top5000-b03-20260718
叫醒	喚醒	syn	syn-top5000-b03-20260718
師奶	主婦	syn	syn-top5000-b03-20260718
體力	氣力	syn	syn-top5000-b03-20260718
後尾	後來	syn	syn-top5000-b03-20260718
眼中	眼裏	syn	syn-top5000-b03-20260718
行山	登山	syn	syn-top5000-b03-20260718
合照	合影	syn	syn-top5000-b03-20260718
打橫	橫過	syn	syn-top5000-b03-20260718
玩完	結束	syn	syn-top5000-b03-20260718
長大	成長	syn	syn-top5000-b03-20260718
阿伯	伯父	syn	syn-top5000-b03-20260718
放假	休假	syn	syn-top5000-b03-20260718
數字	數目	syn	syn-top5000-b03-20260718
狐狸	狐	syn	syn-top5000-b03-20260718
盡快	趕快	syn	syn-top5000-b03-20260718
角色	人物	syn	syn-top5000-b03-20260718
越嚟越	越來越	syn	syn-top5000-b03-20260718
什麼時候	何時	syn	syn-top5000-b03-20260718
墳場	墓地	syn	syn-top5000-b03-20260718
廣告	宣傳	syn	syn-top5000-b03-20260718
間中	偶爾	syn	syn-top5000-b03-20260718
電梯	升降機	syn	syn-top5000-b03-20260718
行街	逛街	syn	syn-top5000-b03-20260718
講起	提起	syn	syn-top5000-b03-20260718
事發	發生	syn	syn-top5000-b03-20260718
唸	念	syn	syn-top5000-b03-20260718
礦場	礦坑	syn	syn-top5000-b03-20260718
空姐	空中小姐	syn	syn-top5000-b03-20260718
第時	將來	syn	syn-top5000-b03-20260718
時尚	潮流	syn	syn-top5000-b03-20260718
轉載	轉發	syn	syn-top5000-b03-20260718
心痛	傷心	syn	syn-top5000-b03-20260718
晏晝	下午	syn	syn-top5000-b03-20260718
本能	天性	syn	syn-top5000-b03-20260718
雞仔	雞	syn	syn-top5000-b03-20260718
乳頭	奶頭	syn	syn-top5000-b03-20260718
舐	舔	syn	syn-top5000-b03-20260718
搓	揉	syn	syn-top5000-b03-20260718
扁	平	syn	syn-top5000-b03-20260718
嘟	鳴	syn	syn-top5000-b03-20260718
箭	矢	syn	syn-top5000-b03-20260718
一口	一口氣	syn	syn-top5000-b04-20260718
毫子	零錢	syn	syn-top5000-b04-20260718
能量	力氣	syn	syn-top5000-b04-20260718
中年	中年人	syn	syn-top5000-b04-20260718
細細個	小時候	syn	syn-top5000-b04-20260718
語言	言語	syn	syn-top5000-b04-20260718
尿片	尿布	syn	syn-top5000-b04-20260718
記起	想起	syn	syn-top5000-b04-20260718
利是	紅包	syn	syn-top5000-b04-20260718
胸圍	胸罩	syn	syn-top5000-b04-20260718
金毛	狗	syn	syn-top5000-b04-20260718
電單車	摩托車	syn	syn-top5000-b04-20260718
契媽	義母	syn	syn-top5000-b04-20260718
廣東話	粵語	syn	syn-top5000-b04-20260718
重有	還有	syn	syn-top5000-b04-20260718
鼻哥	鼻子	syn	syn-top5000-b04-20260718
怎麼辦	如何是好	syn	syn-top5000-b04-20260718
快遞	速遞	syn	syn-top5000-b04-20260718
一次過	一口氣	syn	syn-top5000-b04-20260718
乜鬼	什麼	syn	syn-top5000-b04-20260718
搞錯	弄錯	syn	syn-top5000-b04-20260718
有份	參與	syn	syn-top5000-b04-20260718
餸	菜	syn	syn-top5000-b04-20260718
死仔	該死	syn	syn-top5000-b04-20260718
餅乾	曲奇	syn	syn-top5000-b04-20260718
成世	一輩子	syn	syn-top5000-b04-20260718
第二次	再次	syn	syn-top5000-b04-20260718
當堂	當場	syn	syn-top5000-b04-20260718
鐵閘	鐵門	syn	syn-top5000-b04-20260718
工作人員	職員	syn	syn-top5000-b04-20260718
空調	冷氣	syn	syn-top5000-b04-20260718
呢邊	這邊	syn	syn-top5000-b04-20260718
嚇親	受驚	syn	syn-top5000-b04-20260718
想問	請問	syn	syn-top5000-b04-20260718
第二朝	翌日	syn	syn-top5000-b04-20260718
看起來	看來	syn	syn-top5000-b04-20260718
地標	標記	syn	syn-top5000-b04-20260718
失落	沮喪	syn	syn-top5000-b04-20260718
好易	容易	syn	syn-top5000-b04-20260718
尋日	昨天	syn	syn-top5000-b04-20260718
卻是	倒是	syn	syn-top5000-b04-20260718
大件事	大事	syn	syn-top5000-b04-20260718
山窿	山洞	syn	syn-top5000-b04-20260718
黐線	發瘋	syn	syn-top5000-b04-20260718
個鐘	小時	syn	syn-top5000-b04-20260718
嗰日	當日	syn	syn-top5000-b04-20260718
外套	外衣	syn	syn-top5000-b04-20260718
小巴	巴士	syn	syn-top5000-b04-20260718
急急腳	急忙	syn	syn-top5000-b04-20260718
眼角	眼梢	syn	syn-top5000-b04-20260718
授權	準許	syn	syn-top5000-b04-20260718
世伯	伯父	syn	syn-top5000-b04-20260718
收皮	收場	syn	syn-top5000-b04-20260718
重覆	重複	syn	syn-top5000-b04-20260718
成員	份子	syn	syn-top5000-b04-20260718
眼色	神色	syn	syn-top5000-b04-20260718
硬係	偏偏	syn	syn-top5000-b04-20260718
食煙	吸煙	syn	syn-top5000-b04-20260718
挺好	不錯	syn	syn-top5000-b04-20260718
不敢	豈敢	syn	syn-top5000-b04-20260718
危機	危局	syn	syn-top5000-b04-20260718
老土	過時	syn	syn-top5000-b04-20260718
膠袋	塑料袋	syn	syn-top5000-b04-20260718
頂唔順	受不了	syn	syn-top5000-b04-20260718
主板	主機板	syn	syn-top5000-b04-20260718
多少錢	幾錢	syn	syn-top5000-b04-20260718
顯卡	顯示卡	syn	syn-top5000-b04-20260718
側邊	旁邊	syn	syn-top5000-b04-20260718
子彈	槍彈	syn	syn-top5000-b04-20260718
這些	呢啲	syn	syn-top5000-b04-20260718
神經	神經質	syn	syn-top5000-b04-20260718
褲袋	口袋	syn	syn-top5000-b04-20260718
乜事	何事	syn	syn-top5000-b04-20260718
唔只	不僅	syn	syn-top5000-b04-20260718
打交	打架	syn	syn-top5000-b04-20260718
芝士	乳酪	syn	syn-top5000-b04-20260718
記者	訪員	syn	syn-top5000-b04-20260718
錯愕	驚愕	syn	syn-top5000-b04-20260718
首頁	主頁	syn	syn-top5000-b04-20260718
回家	返屋企	syn	syn-top5000-b04-20260718
成晚	通宵	syn	syn-top5000-b04-20260718
骨頭	骨	syn	syn-top5000-b04-20260718
職工	員工	syn	syn-top5000-b04-20260718
一會	一會兒	syn	syn-top5000-b04-20260718
正話	剛才	syn	syn-top5000-b04-20260718
留言	留話	syn	syn-top5000-b04-20260718
睇醫生	就醫	syn	syn-top5000-b04-20260718
阿公	爺爺	syn	syn-top5000-b04-20260718
大鑊	麻煩	syn	syn-top5000-b04-20260718
天花板	天花	syn	syn-top5000-b04-20260718
廢事	多餘	syn	syn-top5000-b04-20260718
聽朝	明早	syn	syn-top5000-b04-20260718
開聲	出聲	syn	syn-top5000-b04-20260718
無辜	清白	syn	syn-top5000-b04-20260718
識得	懂得	syn	syn-top5000-b04-20260718
車轆	車輪	syn	syn-top5000-b04-20260718
手裏	手上	syn	syn-top5000-b04-20260718
鼠標	滑鼠	syn	syn-top5000-b04-20260718
入邊	裏面	syn	syn-top5000-b04-20260718
冇計	無奈	syn	syn-top5000-b04-20260718
嘔心	噁心	syn	syn-top5000-b04-20260718
大笨象	大象	syn	syn-top5000-b04-20260718
打波	打球	syn	syn-top5000-b04-20260718
波鞋	球鞋	syn	syn-top5000-b04-20260718
突破	衝破	syn	syn-top5000-b04-20260718
返來	回來	syn	syn-top5000-b04-20260718
運營	營運	syn	syn-top5000-b04-20260718
面向	面對	syn	syn-top5000-b04-20260718
員工	職員	syn	syn-top5000-b04-20260718
孫仔	孫子	syn	syn-top5000-b04-20260718
睇法	看法	syn	syn-top5000-b04-20260718
行開	走開	syn	syn-top5000-b04-20260718
親手	親自	syn	syn-top5000-b04-20260718
醜怪	醜陋	syn	syn-top5000-b04-20260718
離遠	遠離	syn	syn-top5000-b04-20260718
物體	物件	syn	syn-top5000-b04-20260718
劇情	情節	syn	syn-top5000-b04-20260718
地板	地面	syn	syn-top5000-b04-20260718
室內	户內	syn	syn-top5000-b04-20260718
鏈	鍊	syn	syn-top5000-b04-20260718
侯	候	syn	syn-top5000-b04-20260718
差佬	警察	syn	syn-top5000-b05-20260718
櫃桶	抽屜	syn	syn-top5000-b05-20260718
晚晚	每晚	syn	syn-top5000-b05-20260718
每晚	夜夜	syn	syn-top5000-b05-20260718
理智	理性	syn	syn-top5000-b05-20260718
秩序	次序	syn	syn-top5000-b05-20260718
講聲	出聲	syn	syn-top5000-b05-20260718
起嚟	起來	syn	syn-top5000-b05-20260718
適應	順應	syn	syn-top5000-b05-20260718
重啓	重開	syn	syn-top5000-b05-20260718
分分鐘	隨時	syn	syn-top5000-b05-20260718
初初	起初	syn	syn-top5000-b05-20260718
加埋	加上	syn	syn-top5000-b05-20260718
手套	手襪	syn	syn-top5000-b05-20260718
手指尾	指尖	syn	syn-top5000-b05-20260718
睇見	看見	syn	syn-top5000-b05-20260718
落堂	下課	syn	syn-top5000-b05-20260718
跑車	賽車	syn	syn-top5000-b05-20260718
一天	整天	syn	syn-top5000-b05-20260718
嗰晚	當晚	syn	syn-top5000-b05-20260718
放榜	公佈	syn	syn-top5000-b05-20260718
樣衰	難看	syn	syn-top5000-b05-20260718
沿途	一路	syn	syn-top5000-b05-20260718
細粒	細小	syn	syn-top5000-b05-20260718
膠布	膠帶	syn	syn-top5000-b05-20260718
車仔	小車	syn	syn-top5000-b05-20260718
偷食	偷嘴	syn	syn-top5000-b05-20260718
專登	故意	syn	syn-top5000-b05-20260718
恤衫	襯衫	syn	syn-top5000-b05-20260718
樣貌	容貌	syn	syn-top5000-b05-20260718
直行	向前	syn	syn-top5000-b05-20260718
螢幕	熒幕	syn	syn-top5000-b05-20260718
貨倉	倉庫	syn	syn-top5000-b05-20260718
郵局	郵政局	syn	syn-top5000-b05-20260718
接下來	然後	syn	syn-top5000-b05-20260718
今時今日	現在	syn	syn-top5000-b05-20260718
包住	包起	syn	syn-top5000-b05-20260718
吸塵機	吸塵器	syn	syn-top5000-b05-20260718
擺明	明顯	syn	syn-top5000-b05-20260718
筷子	箸	syn	syn-top5000-b05-20260718
聲線	嗓音	syn	syn-top5000-b05-20260718
舖頭	店舖	syn	syn-top5000-b05-20260718
那些	嗰啲	syn	syn-top5000-b05-20260718
一般人	普通人	syn	syn-top5000-b05-20260718
叫停	制止	syn	syn-top5000-b05-20260718
巴士站	車站	syn	syn-top5000-b05-20260718
得人驚	可怕	syn	syn-top5000-b05-20260718
打人	毆打	syn	syn-top5000-b05-20260718
攬實	攬住	syn	syn-top5000-b05-20260718
有嘢	有事	syn	syn-top5000-b05-20260718
死者	死人	syn	syn-top5000-b05-20260718
牛油	奶油	syn	syn-top5000-b05-20260718
聽晚	明晚	syn	syn-top5000-b05-20260718
話唔定	説不定	syn	syn-top5000-b05-20260718
隨心	隨意	syn	syn-top5000-b05-20260718
低聲	小聲	syn	syn-top5000-b05-20260718
夾住	夾緊	syn	syn-top5000-b05-20260718
好多人	眾人	syn	syn-top5000-b05-20260718
新抱	媳婦	syn	syn-top5000-b05-20260718
早知	預料	syn	syn-top5000-b05-20260718
權利	權益	syn	syn-top5000-b05-20260718
質素	品質	syn	syn-top5000-b05-20260718
發貨	出貨	syn	syn-top5000-b05-20260718
構建	建立	syn	syn-top5000-b05-20260718
不再	再不	syn	syn-top5000-b05-20260718
