head	tail
水路運輸	水運
深藏不露	深藏若虛
渾水摸魚	混水摸魚
無處可逃	無處可尋
獨來獨往	獨往獨來
神出鬼沒	出沒無常
神清氣爽	精神爽利
窮追不捨	窮追猛打
節約用水	節水
精神失常	精神錯亂
精雕細琢	精雕細刻
習慣用語	慣用語
自下而上	由下而上
言行舉止	言談舉止
費盡心思	費盡心機
逆流而上	逆風而行
道德品質	品德
邊遠地區	邊緣地區
雙管齊下	左右開弓
電影明星	影星
非比尋常	不同尋常
風流倜儻	風流瀟灑
高人一等	勝人一籌
高等法院	高院
不分晝夜	夜以繼日
不堪忍受	忍無可忍
不能自已	情不自禁
互不相讓	各不相讓
交通意外	交通事故
傳播媒介	傳媒
名符其實	名副其實
噪聲污染	噪音污染
太平盛世	盛世
孩提時代	童年
完美無瑕	完美無缺
專職人員	專職
得償所願	如願以償
心無旁騖	專心致志
恍如隔世	恍若隔世
扭轉乾坤	力挽狂瀾
招人喜歡	討人喜歡
數字通信	數據通信
新來乍到	初來乍到
有備無患	防患未然
武裝警察	武警
添油加醋	加油添醋
無牽無掛	了無牽掛
爵士音樂	爵士樂
相差不多	差不多
真假難辨	真偽莫辨
科學普及	科普
立法機關	議會
第二職業	兼職
美侖美奐	美輪美奐
聰明絕頂	絕頂聰明
自卑心理	自卑感
自然選擇	天擇
至始至終	自始至終
虛度光陰	蹉跎歲月
衣衫襤褸	衣不蔽體
西班牙文	西班牙語
觸摸屏幕	觸摸屏
課外讀物	課外書
證據確鑿	鐵證如山
輻射防護	放射防護
迴光返照	回光反照
重整旗鼓	重振旗鼓
長途旅行	長途跋涉
駐車制動	手剎車
駕駛執照	駕照
驚歎不已	讚歎不已
麻醉藥品	麻醉藥
黃道吉日	良辰吉日
鼓舞人心	振奮人心
上半部分	上半部
上層社會	上流社會
亂作一團	亂成一團
交叉學科	跨學科
人壽保險	壽險
人盡皆知	眾所周知
加減乘除	四則運算
化妝舞會	化裝舞會
唔使客氣	別客氣
嚴於律己	嚴以律己
大展身手	大顯身手
天差地別	天壤之別
太陽電池	太陽能電池
威風八面	威風凜凜
學齡兒童	學童
安享晚年	頤養天年
專有名詞	專名
平方英尺	平方呎
悠哉悠哉	悠哉遊哉
懶懶散散	懶散
指手劃腳	指手畫腳
操作環境	作業環境
正態分佈	常態分佈
歷盡艱辛	歷盡艱難
比較而言	相對而言
求神拜佛	燒香拜佛
活字印刷	活版印刷
海外僑胞	華僑
測量工具	量具
無線電波	電波
無縫連接	無縫接軌
牛肉拉麪	牛肉麵
狼心狗肺	蛇蠍心腸
直角三角	直角三角形
相對密度	比重
神經過敏	神經質
縮成一團	蜷縮
繞來繞去	兜圈子
花容月貌	閉月羞花
貌美如花	如花似玉
走親訪友	探親訪友
趁虛而入	乘虛而入
辦公時間	上班時間
過街天橋	行人天橋
避而不談	閉口不談
重見光明	重見天日
金玉良言	至理名言
錦繡前程	大好前程
青銅時代	青銅器時代
風水先生	風水師
一哄而上	蜂擁而上
一國之君	一國之主
一字不漏	一字不落
一片苦心	一番苦心
不知廉恥	恬不知恥
乙型腦炎	乙腦
了無牽掛	無牽無掛
交通擁擠	擁擠不堪
人財兩空	人財兩失
修心養性	修身養性
別無他法	無計可施
刻苦努力	刻苦耐勞
前後矛盾	自相矛盾
力大無窮	力大無比
千挑萬選	精挑細選
命運註定	命中註定
城市區域	市區
外柔內剛	綿裏藏針
大氣壓力	氣壓
始終不變	始終如一
完整無缺	完好無缺
富貴榮華	榮華富貴
小題大作	小題大做
幾次三番	三番四次
徘徊不前	裹足不前
心懷不軌	居心不良
心術不正	居心不良
惰性氣體	稀有氣體
愛管閒事	多管閒事
既成事實	木已成舟
死而無憾	死而無悔
熱身運動	熱身
生產過剩	供過於求
皮包公司	空殼公司
直來直往	直來直去
神智不清	神志不清
結婚儀式	婚禮
絕頂聰明	聰明絕頂
經濟落後	貧窮落後
網絡日記	網誌
纖塵不染	一塵不染
薩克斯風	薩克斯管
薪火相傳	薪盡火傳
裝甲車輛	裝甲車
詞不達意	辭不達意
軍官學校	軍校
長生不死	長生不老
陰曹地府	陰間
陳詞濫調	老生常談
高等植物	維管束植物
一夕之間	一夜之間
一心二用	心猿意馬
三心兩意	三心二意
不可言喻	難以言喻
不成氣候	不成器
不疾不徐	不慌不忙
予取予求	予取予攜
事隔多年	事過境遷
人面獸心	衣冠禽獸
偶像崇拜	崇拜偶像
兒孫滿堂	子孫滿堂
兩把刷子	有兩下子
函授教育	函授
化學肥料	化肥
反面人物	反派
取其精華	去蕪存菁
口舌之爭	口角
和平談判	和談
因公殉職	以身殉職
多重人格	人格分裂
大展鴻圖	大展宏圖
屍體解剖	驗屍
工業國家	工業國
後繼無人	後繼乏人
心醉神迷	如痴如醉
提綱挈領	綱舉目張
文學巨匠	文豪
時日無多	來日無多
暮鼓晨鐘	晨鐘暮鼓
歷史久遠	源遠流長
民意測驗	民調
永續發展	可持續發展
滿天繁星	繁星點點
潔身自愛	潔身自好
牙科醫生	牙醫
疾馳而過	呼嘯而過
瞬息之間	彈指之間
稍安勿躁	稍安毋躁
萬丈光芒	光芒萬丈
落入法網	落網
誇下海口	口出狂言
踽踽獨行	獨來獨往
轉眼即逝	轉瞬即逝
遠隔千里	千里迢迢
重修舊好	言歸於好
重新開機	重新啟動
離開故鄉	背井離鄉
雷雨交加	風雨交加
頭暈腦脹	頭昏腦脹
黎明時分	拂曉
一時三刻	一時半會
一桿進洞	一桿入洞
不分伯仲	不相伯仲
互相切磋	切磋琢磨
人中之龍	人中龍鳳
佛門弟子	佛家弟子
作賤自己	作踐
值回票價	值曬票價
催眠狀態	催眠
入境簽證	簽證
凌雲壯志	壯志凌雲
出口傷人	惡語傷人
劈波斬浪	乘風破浪
同出一轍	如出一轍
吱吱喳喳	嘰嘰喳喳
國內戰爭	內戰
坐立難安	坐立不安
大排長龍	排起長隊
天塌地陷	天崩地裂
天理難容	天理不容
威震天下	威震八方
官僚作風	官僚主義
富得流油	腰纏萬貫
山巒起伏	層巒疊嶂
惡言相向	惡言傷人
惹人注意	引人注目
慘遭毒手	慘遭殺害
成何體統	不成體統
手足情深	情同手足
按步就班	按部就班
敢作敢當	敢作敢為
歡聲雷動	掌聲雷動
死不要臉	厚顏無恥
比翼齊飛	比翼雙飛
海關人員	海關官員
滑雪運動	滑雪
瞭若指掌	瞭如指掌
禁慾主義	禁慾
第六感覺	第六感
結束工作	收工
經驗老到	老練
罄竹難書	擢髮難數
老神在在	泰然自得
處事原則	處世原則
起居飲食	飲食起居
逛來逛去	遊逛
顏面掃地	名譽掃地
香味撲鼻	異香撲鼻
駕鶴西去	駕鶴西歸
骨科醫生	骨科
一片丹心	赤膽忠心
三度空間	三維
上上之策	上策
中古時代	中世紀
中控面板	控制板
倒買倒賣	投機倒把
值得品味	耐人尋味
初級小學	小學
別有韻味	別有風味
千斤重擔	重任
合成代謝	同化作用
地緣戰略	地緣政治
夕陽產業	夕陽工業
外交代表	外交使節
多姿多采	多姿多彩
展露頭角	嶄露頭角
平方公尺	平方米
彎腰駝背	駝背
心神恍惚	神思恍惚
感激萬分	感激不盡
排起長隊	大排長龍
揮霍浪費	揮金如土
放手去做	放手一搏
文武兼備	文武雙全
欺善怕惡	欺軟怕硬
歲月如流	光陰似箭
死而復活	死而復生
消聲匿跡	銷聲匿跡
火災保險	火險
無冤無仇	無仇無怨
盤尼西林	青黴素
自視清高	自命清高
致富之道	生財之道
色情行業	性產業
莞爾一笑	嫣然一笑
蒸騰作用	蒸騰
藐視一切	目空一切
虛席以待	虛位以待
蜚聲國際	蜚聲海外
越幫越忙	幫倒忙
農事活動	農事
進退失據	進退維谷
逼於無奈	迫於無奈
遠近馳名	聞名遐邇
邪魔外道	旁門左道
金融槓桿	槓桿
雄心萬丈	雄心壯志
難分高下	不相上下
震顫麻痹	帕金森病
風光明媚	山明水秀
一般情形	一般狀況
不得其法	不得要領
丟盔卸甲	抱頭鼠竄
交變電流	交流電
侵蝕作用	侵蝕
分文不值	一文不值
分解作用	分解
剖腹自殺	剖腹
十字街口	十字路口
另眼相待	另眼相看
同盟條約	盟約
名聲遠播	聲名遠播
地下鐵路	地鐵
多嘴多舌	多嘴
大氣壓強	大氣壓
如火如茶	如火如荼
妙想天開	異想天開
委委屈屈	委屈
密切相連	息息相關
寬宏大度	寬宏大量
尋根問底	追根究底
年深日久	天長日久
恍然醒悟	恍然大悟
慎重其事	慎重
找不自在	自找苦吃
放浪不羈	放蕩不羈
望而興嘆	望洋興嘆
棄惡從善	改邪歸正
氣象報告	天氣預報
獨裁政權	獨裁
琴瑟和鳴	伉儷情深
甲骨文字	甲骨文
神色自若	泰然自若
空中格鬥	空戰
紫外線光	紫外線
細微末節	細枝末節
罪不可赦	十惡不赦
肝膽俱裂	心膽俱裂
苦難深重	水深火熱
貴族身份	貴族
身負重任	重任
逆風而行	逆流而上
遠隔重洋	遠渡重洋
鏡像站點	鏡像
間接證據	旁證
頭腦清楚	清醒
魂飛天外	魂飛魄散
魔術方塊	魔方
黑白不分	不分皂白
龍袍加身	黃袍加身
