literal	pos	family	voice	note	source	confidence
下先	u			no-source	fallback	low
二人	u			no-source	fallback	low
份工	u			no-source	fallback	low
來講	u			no-source	fallback	low
先去	u			no-source	fallback	low
兩名	u			no-source	fallback	low
凸	u			no-source	fallback	low
咗一	u			no-source	fallback	low
執返	u			no-source	fallback	low
完野	u			no-source	fallback	low
小穴	u			no-source	fallback	low
尖沙	u			no-source	fallback	low
幾張	u			no-source	fallback	low
幾條	u			no-source	fallback	low
感激	v			cow-single	cow	medium
打緊	u			no-source	fallback	low
最憎	u			no-source	fallback	low
未試過	u			no-source	fallback	low
條街	u			no-source	fallback	low
獎	n			cow-single	cow	medium
細細	u			no-source	fallback	low
細貓	u			no-source	fallback	low
罪	n			cow-single	cow	medium
臨走	u			no-source	fallback	low
落床	u			no-source	fallback	low
誠意	u			no-source	fallback	low
諾黑	u			no-source	fallback	low
講住	v			verb-suffix	heuristic	medium
過個	u			no-source	fallback	low
過到	u			no-source	fallback	low
郭富城	u			no-source	fallback	low
你家	u			no-source	fallback	low
要看	u			no-source	fallback	low
說得	u			no-source	fallback	low
爲你	u			no-source	fallback	low
並在	u			no-source	fallback	low
沒得	u			no-source	fallback	low
又不是	u			no-source	fallback	low
也行	u			no-source	fallback	low
不看	u			no-source	fallback	low
有些人	u			no-source	fallback	low
很不	u			no-source	fallback	low
深圳市	u			no-source	fallback	low
澳大利亞	u			no-source	fallback	low
躺在	u			no-source	fallback	low
那張	u			no-source	fallback	low
真的很	u			no-source	fallback	low
都被	u			no-source	fallback	low
一枝	u			no-source	fallback	low
一衆	u			no-source	fallback	low
個邊	u			no-source	fallback	low
口中	u			no-source	fallback	low
坐響	u			no-source	fallback	low
大屋	u			no-source	fallback	low
奸	u			no-source	fallback	low
好爽	u			no-source	fallback	low
娶	v			cow-single	cow	medium
思話	u			no-source	fallback	low
想將	u			no-source	fallback	low
拳鼠	u			no-source	fallback	low
有間	u			no-source	fallback	low
李老師	u			no-source	fallback	low
爲免	u			no-source	fallback	low
率先	v			cow-single	cow	medium
畫個	u			no-source	fallback	low
發緊	u			no-source	fallback	low
知個	u			no-source	fallback	low
考完	v			verb-suffix	heuristic	medium
而嗰	u			no-source	fallback	low
褲仔	u			no-source	fallback	low
要用	u			no-source	fallback	low
講畀	u			no-source	fallback	low
跌跌	u			no-source	fallback	low
返落	u			no-source	fallback	low
鼻鼻	u			no-source	fallback	low
央視	u			no-source	fallback	low
再發	u			no-source	fallback	low
的臉	u			no-source	fallback	low
覺得自己	u			no-source	fallback	low
也可	u			no-source	fallback	low
聽聽	u			no-source	fallback	low
再去	u			no-source	fallback	low
幾個月	u			no-source	fallback	low
很簡單	u			no-source	fallback	low
這項	u			no-source	fallback	low
還將	u			no-source	fallback	low
每週	u			no-source	fallback	low
找找	u			no-source	fallback	low
人在	u			no-source	fallback	low
喫完	v			verb-suffix	heuristic	medium
從來沒有	u			no-source	fallback	low
搞得	u			no-source	fallback	low
溫州	u			no-source	fallback	low
較多	u			no-source	fallback	low
本公司	u			no-source	fallback	low
什麼意思	u			no-source	fallback	low
美國人	u			no-source	fallback	low
公交	u			no-source	fallback	low
七重	u			no-source	fallback	low
你過	u			no-source	fallback	low
傳入	u			no-source	fallback	low
地食	u			no-source	fallback	low
密	u			no-source	fallback	low
寶兒	u			no-source	fallback	low
將呢	u			no-source	fallback	low
張子政	u			no-source	fallback	low
愛莉	u			no-source	fallback	low
我夠	u			no-source	fallback	low
我想講	u			no-source	fallback	low
我開	v			verb-suffix	heuristic	medium
無耐	u			no-source	fallback	low
石鎮	u			no-source	fallback	low
行前	u			no-source	fallback	low
衛文星	u			no-source	fallback	low
襪襪	u			no-source	fallback	low
要同	u			no-source	fallback	low
講一句	u			no-source	fallback	low
警	n			cow-single	cow	medium
趕住	v			verb-suffix	heuristic	medium
追住	v			verb-suffix	heuristic	medium
遺傳	n,v			cow-multi	cow	medium
開到	u			no-source	fallback	low
點同	u			no-source	fallback	low
做完	v			verb-suffix	heuristic	medium
可用	u			no-source	fallback	low
身後	u			no-source	fallback	low
這件事	u			no-source	fallback	low
聊聊	u			no-source	fallback	low
無錫	u			no-source	fallback	low
實時	n			cow-single	cow	medium
這事	u			no-source	fallback	low
新華網	u			no-source	fallback	low
說到	u			no-source	fallback	low
這種情況	n			len4-noun-heuristic	heuristic	medium
作了	u			no-source	fallback	low
截圖	u			no-source	fallback	low
就被	u			no-source	fallback	low
可以看到	u			no-source	fallback	low
去找	u			no-source	fallback	low
一座	u			no-source	fallback	low
一班人	u			no-source	fallback	low
丁仔	u			no-source	fallback	low
上床	u			no-source	fallback	low
仔都	u			no-source	fallback	low
個韻	u			no-source	fallback	low
偉大	u			no-source	fallback	low
偷睇	u			no-source	fallback	low
先返	u			no-source	fallback	low
全級	u			no-source	fallback	low
兩間	u			no-source	fallback	low
咇	u			no-source	fallback	low
咗先	u			no-source	fallback	low
喼	u			no-source	fallback	low
嘅衫	u			no-source	fallback	low
嘅長	u			no-source	fallback	low
埋單	u			no-source	fallback	low
大男人	u			no-source	fallback	low
大細	u			no-source	fallback	low
太耐	u			no-source	fallback	low
好型	u			no-source	fallback	low
妖塔	u			no-source	fallback	low
子健	u			no-source	fallback	low
容講	u			no-source	fallback	low
對望	u			no-source	fallback	low
小輪	n			cow-single	cow	medium
張有	u			no-source	fallback	low
指指	u			no-source	fallback	low
挨住	v			verb-suffix	heuristic	medium
方太	u			no-source	fallback	low
最令	u			no-source	fallback	low
最怕	u			no-source	fallback	low
杏	n			cow-single	cow	medium
條仆街	u			no-source	fallback	low
火炎	u			no-source	fallback	low
發癲	u			no-source	fallback	low
藏	v			cow-single	cow	medium
行番	u			no-source	fallback	low
褸	u			no-source	fallback	low
訊號	u			no-source	fallback	low
講吓	u			no-source	fallback	low
身穿	u			no-source	fallback	low
遠方	u			no-source	fallback	low
還要	u			no-source	fallback	low
開個	u			no-source	fallback	low
阿欣	u			no-source	fallback	low
阿細	u			no-source	fallback	low
黎生	u			no-source	fallback	low
黑牛	n			cow-single	cow	medium
市政府	u			no-source	fallback	low
拿來	u			no-source	fallback	low
所有人	n			cow-single	cow	medium
暈死	u			no-source	fallback	low
主管部門	n			len4-noun-heuristic	heuristic	medium
漲幅	u			no-source	fallback	low
能在	u			no-source	fallback	low
很可能	u			no-source	fallback	low
幾個人	u			no-source	fallback	low
等人	u			no-source	fallback	low
呵呵呵	u			no-source	fallback	low
的手	u			no-source	fallback	low
較低	u			no-source	fallback	low
出處	u			no-source	fallback	low
十七大	u			no-source	fallback	low
來着	u			no-source	fallback	low
都不知道	u			no-source	fallback	low
爲難	u			no-source	fallback	low
的第	u			no-source	fallback	low
雅虎	u			no-source	fallback	low
祇	u			no-source	fallback	low
比你	u			no-source	fallback	low
這些人	u			no-source	fallback	low
點此	u			no-source	fallback	low
一團	u			no-source	fallback	low
一邊講	u			no-source	fallback	low
一閃	u			no-source	fallback	low
七月	n			cow-single	cow	medium
仲同	u			no-source	fallback	low
但當	u			no-source	fallback	low
傑仔	u			no-source	fallback	low
先喇	u			no-source	fallback	low
兩張	u			no-source	fallback	low
兩步	u			no-source	fallback	low
冷冷	u			no-source	fallback	low
剩低	u			no-source	fallback	low
動漫	u			no-source	fallback	low
叉燒	u			no-source	fallback	low
君君	u			no-source	fallback	low
咗嗰	u			no-source	fallback	low
咗學	u			no-source	fallback	low
咗聲	u			no-source	fallback	low
嗰兩個	u			no-source	fallback	low
嘈醒	u			no-source	fallback	low
地同	u			no-source	fallback	low
地見	u			no-source	fallback	low
外母	u			no-source	fallback	low
好差	u			no-source	fallback	low
小惠	u			no-source	fallback	low
小貞見	u			no-source	fallback	low
屋邨	u			no-source	fallback	low
差人	u			no-source	fallback	low
差館	u			no-source	fallback	low
志文	u			no-source	fallback	low
思好	u			no-source	fallback	low
感謝	n,v			cow-multi	cow	medium
我讀	u			no-source	fallback	low
打得	u			no-source	fallback	low
拍緊	u			no-source	fallback	low
提過	u			no-source	fallback	low
文文	u			no-source	fallback	low
星爺	u			no-source	fallback	low
暗戀	u			no-source	fallback	low
暗瘡	u			no-source	fallback	low
最快	u			no-source	fallback	low
未見過	u			no-source	fallback	low
洗問	u			no-source	fallback	low
滿頭	u			no-source	fallback	low
澧林	u			no-source	fallback	low
生前	u			no-source	fallback	low
病病	u			no-source	fallback	low
石洞	u			no-source	fallback	low
秦天朗	u			no-source	fallback	low
純熟	u			no-source	fallback	low
老侯	u			no-source	fallback	low
荳	u			no-source	fallback	low
街邊	u			no-source	fallback	low
覺覺	u			no-source	fallback	low
講嘅嘢	u			no-source	fallback	low
輪到	u			no-source	fallback	low
轅	u			no-source	fallback	low
送信	u			no-source	fallback	low
連個	u			no-source	fallback	low
過好	u			no-source	fallback	low
邏輯	n			cow-single	cow	medium
金仔	u			no-source	fallback	low
關我	u			no-source	fallback	low
阿敏	u			no-source	fallback	low
阿頭	u			no-source	fallback	low
食下	u			no-source	fallback	low
食個	u			no-source	fallback	low
食飽	u			no-source	fallback	low
餐室	u			no-source	fallback	low
遵紀守法	u			no-source	fallback	low
小小的	u			no-source	fallback	low
了一	u			no-source	fallback	low
和她	u			no-source	fallback	low
調控	u			no-source	fallback	low
兩個月	u			no-source	fallback	low
是他	u			no-source	fallback	low
不是很	u			no-source	fallback	low
標識	u			no-source	fallback	low
她是	u			no-source	fallback	low
像是	u			no-source	fallback	low
廣州市	u			no-source	fallback	low
這塊	u			no-source	fallback	low
請輸入	u			no-source	fallback	low
字段	u			no-source	fallback	low
交流平臺	u			no-source	fallback	low
小白	u			no-source	fallback	low
賽季	u			no-source	fallback	low
買房	u			no-source	fallback	low
○	u			no-source	fallback	low
一觸	u			no-source	fallback	low
下點	u			no-source	fallback	low
中大	u			no-source	fallback	low
但個	u			no-source	fallback	low
傻㗎	u			no-source	fallback	low
兄	u			no-source	fallback	low
先話	u			no-source	fallback	low
刀刀	u			no-source	fallback	low
占士	u			no-source	fallback	low
同小熙	u			no-source	fallback	low
名校	u			no-source	fallback	low
咗架	u			no-source	fallback	low
哈哈哈哈哈	u			no-source	fallback	low
嚟睇	u			no-source	fallback	low
四年	u			no-source	fallback	low
外星	u			no-source	fallback	low
好想	u			no-source	fallback	low
好重	u			no-source	fallback	low
姚津莉	u			no-source	fallback	low
德華	u			no-source	fallback	low
忍依	u			no-source	fallback	low
我放	u			no-source	fallback	low
搵食	u			no-source	fallback	low
暪	u			no-source	fallback	low
李曼婷	u			no-source	fallback	low
校花	u			no-source	fallback	low
歌仔	u			no-source	fallback	low
池目	u			no-source	fallback	low
波子	u			no-source	fallback	low
洗碗	u			no-source	fallback	low
無錢	u			no-source	fallback	low
申月兒	u			no-source	fallback	low
百佳	u			no-source	fallback	low
筆筆	u			no-source	fallback	low
老死	u			no-source	fallback	low
腰間	u			no-source	fallback	low
自語	u			no-source	fallback	low
葉信	u			no-source	fallback	low
衝過	u			no-source	fallback	low
許崇德	u			no-source	fallback	low
讀緊	u			no-source	fallback	low
轅皓	u			no-source	fallback	low
連身	u			no-source	fallback	low
銀仙	u			no-source	fallback	low
阿偉	u			no-source	fallback	low
阿妍	u			no-source	fallback	low
阿妤	u			no-source	fallback	low
雞巴	u			no-source	fallback	low
高登	u			no-source	fallback	low
鬼妹	u			no-source	fallback	low
魔物	u			no-source	fallback	low
這個時候	u			no-source	fallback	low
三個月	u			no-source	fallback	low
我真	u			no-source	fallback	low
我愛	u			no-source	fallback	low
能讓	u			no-source	fallback	low
工行	u			no-source	fallback	low
上圖	u			no-source	fallback	low
請用	u			no-source	fallback	low
騰訊	u			no-source	fallback	low
用的	u			no-source	fallback	low
爲例	u			no-source	fallback	low
這樣做	u			no-source	fallback	low
機型	u			no-source	fallback	low
看我	u			no-source	fallback	low
什麼呢	u			no-source	fallback	low
應用程序	u			no-source	fallback	low
剛開始	u			no-source	fallback	low
在他	u			no-source	fallback	low
盯着	u			no-source	fallback	low
們的	u			no-source	fallback	low
就是這樣	u			no-source	fallback	low
才行	u			no-source	fallback	low
有一	u			no-source	fallback	low
就象	u			no-source	fallback	low
權證	u			no-source	fallback	low
控件	u			no-source	fallback	low
狗狗	u			no-source	fallback	low
喫過	u			no-source	fallback	low
不喫	u			no-source	fallback	low
一停	u			no-source	fallback	low
一副	u			no-source	fallback	low
乒乓波	u			no-source	fallback	low
乜春	u			no-source	fallback	low
估錯	u			no-source	fallback	low
你會	u			no-source	fallback	low
個口	u			no-source	fallback	low
做返	u			no-source	fallback	low
傾偈	u			no-source	fallback	low
兩件	u			no-source	fallback	low
冷震	u			no-source	fallback	low
化身	v			cow-single	cow	medium
十幾	u			no-source	fallback	low
又問	u			no-source	fallback	low
同嗰	u			no-source	fallback	low
同過	u			no-source	fallback	low
咸溼	u			no-source	fallback	low
嘅聲	u			no-source	fallback	low
嚇得	u			no-source	fallback	low
坐底	u			no-source	fallback	low
執好	u			no-source	fallback	low
契弟	u			no-source	fallback	low
好近	u			no-source	fallback	low
好鐘	u			no-source	fallback	low
好香	u			no-source	fallback	low
子怡	u			no-source	fallback	low
子情	u			no-source	fallback	low
左小貞	u			no-source	fallback	low
幾正	u			no-source	fallback	low
幾難	u			no-source	fallback	low
彈開	v			verb-suffix	heuristic	medium
後日	u			no-source	fallback	low
戇居	u			no-source	fallback	low
我口	u			no-source	fallback	low
我當	u			no-source	fallback	low
我試	u			no-source	fallback	low
我認	u			no-source	fallback	low
擺出	u			no-source	fallback	low
有小小	u			no-source	fallback	low
有日	u			no-source	fallback	low
格格聲	u			no-source	fallback	low
條屍	u			no-source	fallback	low
民	n			cow-single	cow	medium
洗講	u			no-source	fallback	low
洗面	u			no-source	fallback	low
深一層	u			no-source	fallback	low
無計	u			no-source	fallback	low
犯賤	u			no-source	fallback	low
石屎	u			no-source	fallback	low
紫澄	u			no-source	fallback	low
而個	u			no-source	fallback	low
舉手	u			no-source	fallback	low
芷	n			cow-single	cow	medium
莫名	u			no-source	fallback	low
行吓	u			no-source	fallback	low
那種	u			no-source	fallback	low
郁手	u			no-source	fallback	low
野比	u			no-source	fallback	low
間屋	u			no-source	fallback	low
順住	v			verb-suffix	heuristic	medium
風險	n			cow-single	cow	medium
食屎	u			no-source	fallback	low
也算	u			no-source	fallback	low
更大的	u			no-source	fallback	low
就得	u			no-source	fallback	low
瘋了	u			no-source	fallback	low
哪位	u			no-source	fallback	low
有無	u			no-source	fallback	low
是我的	u			no-source	fallback	low
那次	u			no-source	fallback	low
季度	n			cow-single	cow	medium
自以爲	u			no-source	fallback	low
才發現	u			no-source	fallback	low
搜索引擎	u			no-source	fallback	low
但也	u			no-source	fallback	low
嘴裏	u			no-source	fallback	low
路由	u			no-source	fallback	low
多家	u			no-source	fallback	low
我給你	u			no-source	fallback	low
發帖	u			no-source	fallback	low
非常好	u			no-source	fallback	low
已被	u			no-source	fallback	low
這是我	u			no-source	fallback	low
面板	u			no-source	fallback	low
會讓	u			no-source	fallback	low
對她	u			no-source	fallback	low
購	v			cow-single	cow	medium
有一次	u			no-source	fallback	low
任何人	u			no-source	fallback	low
兩隻	u			no-source	fallback	low
只需	u			no-source	fallback	low
播放器	u			no-source	fallback	low
一問	u			no-source	fallback	low
一有	u			no-source	fallback	low
仲用	u			no-source	fallback	low
依一個	u			no-source	fallback	low
侮辱	n,v			cow-multi	cow	medium
傾下計	u			no-source	fallback	low
傾得	u			no-source	fallback	low
兩種	u			no-source	fallback	low
出返	u			no-source	fallback	low
十一點	u			no-source	fallback	low
可疑	u			no-source	fallback	low
合埋眼	u			no-source	fallback	low
同嘉浩	u			no-source	fallback	low
咗間	u			no-source	fallback	low
啞仔	u			no-source	fallback	low
嘴邊	u			no-source	fallback	low
嚟緊	u			no-source	fallback	low
四眼	u			no-source	fallback	low
回過	u			no-source	fallback	low
大波	u			no-source	fallback	low
太遠	u			no-source	fallback	low
好天	u			no-source	fallback	low
媾	u			no-source	fallback	low
實一實	u			no-source	fallback	low
導遊	u			no-source	fallback	low
小提琴	u			no-source	fallback	low
左腳	u			no-source	fallback	low
帶着	u			no-source	fallback	low
廢青	u			no-source	fallback	low
愛一	u			no-source	fallback	low
我整	u			no-source	fallback	low
我衝	u			no-source	fallback	low
手中	u			no-source	fallback	low
收返	u			no-source	fallback	low
最衰	u			no-source	fallback	low
會問	u			no-source	fallback	low
會用	u			no-source	fallback	low
未試	u			no-source	fallback	low
杰仔	u			no-source	fallback	low
港女	u			no-source	fallback	low
無同	u			no-source	fallback	low
煙通	u			no-source	fallback	low
爛仔	u			no-source	fallback	low
爛口	u			no-source	fallback	low
玉興	u			no-source	fallback	low
玩嘢	u			no-source	fallback	low
玩過	u			no-source	fallback	low
示弱	u			no-source	fallback	low
組爸	u			no-source	fallback	low
翻工	u			no-source	fallback	low
肚腩	u			no-source	fallback	low
自拍	u			no-source	fallback	low
落雨	u			no-source	fallback	low
講出嚟	u			no-source	fallback	low
講番	u			no-source	fallback	low
質	u			no-source	fallback	low
遇過	u			no-source	fallback	low
金弦	u			no-source	fallback	low
閃過	v			cow-single	cow	medium
阿良	u			no-source	fallback	low
食花生	u			no-source	fallback	low
餵貓	u			no-source	fallback	low
骷	u			no-source	fallback	low
體質	n			cow-single	cow	medium
麥當	u			no-source	fallback	low
回帖	u			no-source	fallback	low
索尼	u			no-source	fallback	low
笑了	u			no-source	fallback	low
進球	u			no-source	fallback	low
些什麼	u			no-source	fallback	low
電子商務	u			no-source	fallback	low
發表言論	u			no-source	fallback	low
啥時候	u			no-source	fallback	low
有幾個	u			no-source	fallback	low
的歌	u			no-source	fallback	low
而又	u			no-source	fallback	low
頂頂頂頂	u			no-source	fallback	low
抓好	u			no-source	fallback	low
那個人	u			no-source	fallback	low
省級	u			no-source	fallback	low
打不開	u			no-source	fallback	low
想你	u			no-source	fallback	low
表現出	u			no-source	fallback	low
爲您	u			no-source	fallback	low
