literal	scope	current_family	proposed_family	source	evidence	confidence	verdict	review_note
一清如水	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一溜煙	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一潭死水	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一瀉千里	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一無可取	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一無所得	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一無所有	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一無所獲	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一無所知	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一無所聞	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一無所長	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一無是處	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一無長物	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一片丹心	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一片汪洋	project-pos-expansion		chengyu	china-idiom	external-membership;family-unset	medium	pending	awaiting-review
一物降一物	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一狐之腋	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一生一世	project-pos-expansion		chengyu	china-idiom	external-membership;family-unset	medium	pending	awaiting-review
一男半女	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一病不起	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一瘸一拐	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
一盤散沙	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一目十行	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一目瞭然	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一相情願	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一瞑不視	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一知半解	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一石二鳥	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一窩蜂	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一窮二白	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一竅不通	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一笑了之	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一笑置之	project-pos-expansion		chengyu	china-idiom	external-membership;family-unset	medium	pending	awaiting-review
一筆不苟	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一筆勾銷	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一筆帶過	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
一筆抹殺	project-pos-expansion		chengyu	china-idiom	external-membership;family-unset	medium	pending	awaiting-review
一筆抹煞	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一箭之仇	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
一箭雙鵰	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一籌莫展	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一紙空文	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一索得男	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一統天下	project-pos-expansion		chengyu	china-idiom	external-membership;family-unset	medium	pending	awaiting-review
一絲一毫	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一絲不掛	project-pos-expansion		chengyu	china-idiom	external-membership;family-unset	medium	pending	awaiting-review
一絲不苟	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一網打盡	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一線之隔	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
一線生機	project-pos-expansion		chengyu	china-idiom	external-membership;family-unset	medium	pending	awaiting-review
一聲不吭	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
一聲不響	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
一脈相傳	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一脈相承	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一腔熱血	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
一臂之力	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一舉一動	project-pos-expansion		chengyu	china-idiom	external-membership;family-unset	medium	pending	awaiting-review
一舉兩得	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一舉成名	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一般見識	project-pos-expansion		chengyu	china-idiom	external-membership;family-unset	medium	pending	awaiting-review
一落千丈	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一葉扁舟	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
一葉知秋	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一葉障目	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一蟹不如一蟹	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一衣帶水	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一表人才	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一表人材	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一見傾心	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一見如故	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一見鍾情	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一視同仁	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一親芳澤	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
一覽無遺	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一覽無餘	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一觸即潰	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一觸即發	project-pos-expansion		chengyu	china-idiom	external-membership;family-unset	medium	pending	awaiting-review
一言一行	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一言不發	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一言中的	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一言九鼎	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一言以蔽之	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一言千金	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一言半語	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一言喪邦	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一言堂	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一言既出駟馬難追	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一言為定	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一言興邦	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一言難盡	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一語中的	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一語破的	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一語道破	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一語雙關	project-pos-expansion		chengyu	china-idiom	external-membership;family-unset	medium	pending	awaiting-review
一誤再誤	project-pos-expansion		chengyu	china-idiom	external-membership;family-unset	medium	pending	awaiting-review
一諾千金	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一貧如洗	project-pos-expansion		chengyu	china-idiom	external-membership;family-unset	medium	pending	awaiting-review
一走了之	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一路平安	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一路順風	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一路風塵	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一蹴可幾	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一蹴而就	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一蹴而得	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一蹶不振	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一身兩役	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一身是膽	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一辭莫贊	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一針見血	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一錘定音	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一錢不值	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一錢如命	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一長一短	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一門心思	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一面之交	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一面之緣	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一面之詞	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一頭霧水	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
一顰一笑	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一風吹	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一飛沖天	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一飲而盡	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
一飽口福	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
一飽眼福	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
一馬平川	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一馬當先	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一驚一乍	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
一髮千鈞	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一鬨而散	project-pos-expansion		chengyu	china-idiom	external-membership;family-unset	medium	pending	awaiting-review
一鱗半爪	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
一鳴驚人	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一點一滴	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一鼓作氣	mother-external-match	idiom	chengyu	china-idiom	external-membership	medium	pending	awaiting-review
一鼻孔出氣	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
丁是丁卯是卯	lexicon-pos-gap		chengyu	china-idiom	external-membership;missing-project-pos	low	pending	awaiting-review
七七事變	mother-unmatched	idiom		project-pos-mother	no-external-match	low	pending	awaiting-review
