literal	pos	family	voice	note	trust	stratum	rank	verdict	fix_pos	fix_family	fix_voice	audit_note
符紙	u			no-source;p1;fallback	low	low|u	4902					
等陣	u			no-source;fallback	low	low|u	1702					
算是	u			no-source;fallback	low	low|u	3495					
約	u			no-source;fallback	low	low|u	515					
紅	u			no-source;p1;fallback	low	low|u	905					
組	u			no-source;fallback	low	low|u	3740					
練	u			no-source;fallback	low	low|u	2340					
老土	u			no-source;fallback	low	low|u	3878					
者	u			no-source;fallback	low	low|u	683					
而家	u			no-source;fallback	low	low|u	114					
聰明	u			no-source;fallback	low	low|u	3095					
肚臍	u			no-source;fallback	low	low|u	3413					
自私	u			no-source;fallback	low	low|u	3655					
舖頭	u			no-source;fallback	low	low|u	4815					
著	u			no-source;fallback	low	low|u	100					
衆	u			no-source;fallback	low	low|u	4619					
行路	u			no-source;fallback	low	low|u	4729					
褲袋	u			no-source;fallback	low	low|u	3979					
要不要	u			no-source;p1;fallback	low	low|u	3997					
計	u			no-source;fallback	low	low|u	1470					
詩音	u			no-source;p1;fallback	low	low|u	829					
識	u			no-source;fallback	low	low|u	112					
識得	u			no-source;fallback	low	low|u	4253					
迅速	u			no-source;fallback	low	low|u	3458					
這裡	u			no-source;fallback	low	low|u	2522					
遲早	u			no-source;fallback	low	low|u	4166					
邊個	u			no-source;fallback	low	low|u	97					
部	u			no-source;fallback	low	low|u	636					
都很	u			no-source;p1;fallback	low	low|u	4626					
都能	u			no-source;p1;fallback	low	low|u	3178					
阿南	u			no-source;p1;fallback	low	low|u	1232					
阿嘉	u			no-source;p1;fallback	low	low|u	1277					
陳	u			no-source;fallback	low	low|u	554					
順利	u			no-source;fallback	low	low|u	2434					
顯然	u			no-source;fallback	low	low|u	4169					
魔風	u			no-source;p1;fallback	low	low|u	4826					
麪	u			no-source;fallback	low	low|u	3181					
中	a,n			cow-multi	medium	medium|gate	184					
交換	n,v			cow-multi	medium	medium|gate	1975					
交流	n,v			cow-multi	medium	medium|gate	2852					
保證	n,v			cow-multi	medium	medium|gate	4005					
值得	n,v			cow-multi	medium	medium|gate	1782					
停留	n,v			cow-multi	medium	medium|gate	3902					
偵探	n,v			cow-multi	medium	medium|gate	4281					
傷害	n,v			cow-multi	medium	medium|gate	1246					
切	n,v			cow-multi	medium	medium|gate	1042					
利用	n,v			cow-multi	medium	medium|gate	2133					
制服	n,v			cow-multi	medium	medium|gate	3546					
命令	n,v			cow-multi	medium	medium|gate	2660					
圈	n,v			cow-multi	medium	medium|gate	1599					
實現	n,v			cow-multi	medium	medium|gate	3818					
專心	n,v			cow-multi	medium	medium|gate	1995					
希望	n,v			cow-multi	medium	medium|gate	349					
後悔	n,v			cow-multi	medium	medium|gate	1446					
微笑	n,v			cow-multi	medium	medium|gate	1073					
必要	n,v			cow-multi	medium	medium|gate	3138					
感覺	n,v			cow-multi	medium	medium|gate	192					
打算	n,v			cow-multi	medium	medium|gate	1052					
拉	n,v			cow-multi;p1	medium	medium|gate	570					
提供	n,v			cow-multi	medium	medium|gate	3643					
撞擊	n,v			cow-multi	medium	medium|gate	4590					
整理	n,v			cow-multi	medium	medium|gate	3868					
數	n,v			cow-multi	medium	medium|gate	1385					
期待	n,v			cow-multi	medium	medium|gate	1348					
死	n,v			cow-multi	medium	medium|gate	120					
派	n,v			cow-multi	medium	medium|gate	1267					
浪費	n,v			cow-multi	medium	medium|gate	3116					
深入	n,v			cow-multi	medium	medium|gate	4890					
滑雪	n,v			cow-multi	medium	medium|gate	2475					
猶豫	n,v			cow-multi	medium	medium|gate	4089					
申請	n,v			cow-multi	medium	medium|gate	4658					
破壞	n,v			cow-multi	medium	medium|gate	2043					
確認	n,v			cow-multi	medium	medium|gate	3170					
移動	n,v			cow-multi	medium	medium|gate	2432					
聯繫	n,v			cow-multi	medium	medium|gate	961					
製造	n,v			cow-multi	medium	medium|gate	3456					
襲擊	n,v			cow-multi	medium	medium|gate	4603					
解釋	n,v			cow-multi	medium	medium|gate	784					
講話	n,v			cow-multi	medium	medium|gate	2620					
變化	n,v			cow-multi	medium	medium|gate	3884					
轉變	n,v			cow-multi	medium	medium|gate	4164					
迎接	n,v			cow-multi;p1	medium	medium|gate	3928					
遊戲	n,v			cow-multi	medium	medium|gate	766					
道歉	n,v			cow-multi	medium	medium|gate	2025					
選擇	n,v			cow-multi	medium	medium|gate	806					
電話	n,v			cow-multi	medium	medium|gate	196					
類似	n,v			cow-multi	medium	medium|gate	2640					
