literal	pos	family	voice	source	evidence	confidence	verdict	review_note	stratum	audit_verdict	audit_note
一息尚存	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一手包辦	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一技之長	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一把死拿	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一拍即合	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一搭一檔	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一擲千金	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一改故轍	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一日三秋	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一日之雅	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一日千里	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一時半晌	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一暴十寒	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一曝十寒	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一朝一夕	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一朝天子一朝臣	u	chengyu		china-idiom+agent	clause-without-syntax-slot	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一木難支	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一本萬利	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一板三眼	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一枝之棲	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一樹百穫	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一步一個腳印	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一步一趨	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一步登天	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一波三折	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一清如水	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一溜煙	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一瀉千里	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一無可取	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一無所聞	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一無長物	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一物降一物	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一狐之腋	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一男半女	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一瞑不視	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一窩蜂	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一窮二白	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一竅不通	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一筆不苟	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一筆抹煞	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一索得男	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一絲一毫	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一蟹不如一蟹	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一表人才	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一見如故	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一覽無遺	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一言中的	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一言九鼎	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一言千金	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一言半語	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一言喪邦	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一言堂	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一言既出駟馬難追	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一言興邦	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一諾千金	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一走了之	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一路順風	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一蹴可幾	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一蹴而得	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一辭莫贊	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一錢不值	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一錢如命	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一風吹	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一髮千鈞	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一鱗半爪	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
一鼻孔出氣	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
丁是丁卯是卯	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
七嘴八張	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
七嘴八舌	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
七孔生煙	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
七手八腳	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
七折八扣	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
七拼八湊	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
七橫八豎	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
七步成詩	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
七竅生煙	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
七長八短	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
七零八落	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
三下五除二	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
三五成羣	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
三人行必有我師	u	chengyu		china-idiom+agent	clause-without-syntax-slot	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
三句不離本行	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
三句話不離本行	u	chengyu		china-idiom+agent	clause-without-syntax-slot	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
三寸不爛之舌	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
三思而後行	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
三思而行	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
三瓦兩舍	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
三生有幸	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
三腳兩步	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
三茶六飯	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
三親六故	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
三言兩句	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
三貞九烈	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
三長兩短	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
三頭兩日	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
三顧茅廬	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
三顧草廬	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
三魂七魄	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
上下其手	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
上情下達	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
上樑不正下樑歪	u	chengyu		china-idiom+agent	clause-without-syntax-slot	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
下不為例	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
下回分解	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
下情上達	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
下馬威	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
不一而足	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
不世之功	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
不世之業	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
不主故常	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
不乏其人	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
不二法門	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
不亢不卑	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
不仁不義	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
不以為意	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
不伏燒埋	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
不倫不類	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
不值一顧	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
不偏不倚	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
不傷脾胃	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
不入時宜	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
不共戴天	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
不出所料	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
不分軒輊	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
不分青紅皂白	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
不到黃河心不死	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
不務正業	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
不勝其煩	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
不勝枚舉	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
不即不離	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
不厭其煩	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
不厭其詳	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
不可勝數	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
不可同日而語	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
不可名狀	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
不可捉摸	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
不可枚舉	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
不可磨滅	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
不可端倪	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review	u|none|low	OK	conservative terminal: no approved syntax evidence
