literal	pos	family	voice	source	evidence	confidence	verdict	review_note
一枝之棲	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一樹百穫	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一步一個腳印	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一步一趨	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一步登天	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一波三折	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一清如水	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一溜煙	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一瀉千里	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一無可取	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一無所聞	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一無長物	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一物降一物	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一狐之腋	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一男半女	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一瞑不視	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一窩蜂	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一窮二白	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一竅不通	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一筆不苟	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一筆抹煞	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一索得男	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一絲一毫	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一蟹不如一蟹	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一表人才	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一見如故	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一覽無遺	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一言中的	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一言九鼎	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一言千金	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一言半語	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一言喪邦	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一言堂	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一言既出駟馬難追	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一言興邦	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一諾千金	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一走了之	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一路順風	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一蹴可幾	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一蹴而得	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一辭莫贊	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一錢不值	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一錢如命	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一風吹	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一髮千鈞	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一鱗半爪	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
一鼻孔出氣	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
丁是丁卯是卯	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
七上八下	a	chengyu		china-idiom+agent	state-definition;example-result-state	high	accept	conservative syntax review
七嘴八張	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
七嘴八舌	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
七孔生煙	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
七手八腳	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
七折八扣	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
七拼八湊	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
七橫八豎	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
七步之才	n	chengyu		china-idiom+agent	nominal-slot-or-referent	high	accept	conservative syntax review
七步成詩	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
七竅生煙	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
七長八短	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
七零八落	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
七顛八倒	a	chengyu		china-idiom+agent	state-definition	high	accept	conservative syntax review
三下五除二	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
三五成群	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
三人行必有我師	u	chengyu		china-idiom+agent	clause-without-syntax-slot	low	accept	conservative syntax review
三句不離本行	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
三句話不離本行	u	chengyu		china-idiom+agent	clause-without-syntax-slot	low	accept	conservative syntax review
三寸不爛之舌	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
三思而後行	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
三思而行	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
三朋四友	n	chengyu		china-idiom+agent	agent-reviewed-override	high	accept	conservative syntax review
三瓦兩舍	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
三生有幸	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
三腳兩步	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
三茶六飯	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
三親六故	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
三言兩句	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
三貞九烈	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
三長兩短	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
三頭兩日	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
三顧茅廬	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
三顧草廬	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
三魂七魄	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
上下其手	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
上情下達	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
上樑不正下樑歪	u	chengyu		china-idiom+agent	clause-without-syntax-slot	low	accept	conservative syntax review
下不為例	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
下回分解	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
下情上達	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
下馬威	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不一而足	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不世之功	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不世之業	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不主故常	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不乏其人	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不二法門	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不亢不卑	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不仁不義	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不以為意	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不伏燒埋	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不倫不類	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不值一顧	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不偏不倚	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不傷脾胃	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不入時宜	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不共戴天	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不出所料	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不分軒輊	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不分青紅皂白	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不刊之論	n	chengyu		china-idiom+agent	nominal-slot-or-referent	high	accept	conservative syntax review
不到黃河心不死	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不務正業	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不勝其煩	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不勝枚舉	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不即不離	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不厭其煩	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不厭其詳	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不可勝數	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不可同日而語	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不可名狀	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不可多得	a	chengyu		china-idiom+agent	state-definition	high	accept	conservative syntax review
不可捉摸	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不可枚舉	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不可磨滅	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不可端倪	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不可終日	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不可開交	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不合時宜	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不同凡響	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不名一文	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不吝珠玉	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不吝賜教	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不問青紅皂白	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不啻天淵	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不在其位不謀其政	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不在話下	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不堪入目	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不堪回首	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不堪言狀	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不堪造就	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不安其室	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不容分説	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不容置疑	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不容置辯	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不寒而慄	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不屈不撓	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不得人心	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不得已而為之	a	chengyu		china-idiom+agent	state-definition	high	accept	conservative syntax review
不得而知	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不得開交	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不急之務	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不恤人言	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不恥下問	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不愧不怍	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不成器	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不打不相識	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不打自招	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不折不扣	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不攻自破	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不敢自專	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不敢造次	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不敢高攀	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不文不武	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不明不白	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不易之論	n	chengyu		china-idiom+agent	nominal-slot-or-referent	high	accept	conservative syntax review
不是冤家不聚頭	u	chengyu		china-idiom+agent	clause-without-syntax-slot	low	accept	conservative syntax review
不時之需	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不服水土	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不期而遇	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不歡而散	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不為五斗米折腰	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不無小補	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不甘寂寞	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不甘後人	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不甘示弱	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不由分説	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不痛不癢	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不痴不聾	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不登大雅之堂	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不白之冤	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不省人事	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不瞅不睬	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不知丁董	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不知利害	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不知天高地厚	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不知所云	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不知所以	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不知痛癢	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不知者不罪	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不管三七二十一	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不絕如縷	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不經之談	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不義之財	n	chengyu		china-idiom+agent	nominal-slot-or-referent	high	accept	conservative syntax review
不翼而飛	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不聲不響	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不肖子孫	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不脛而走	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不自量力	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不見棺材不落淚	u	chengyu		china-idiom+agent	clause-without-syntax-slot	low	accept	conservative syntax review
不見經傳	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不言不語	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不計其數	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不識之無	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不識大體	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不識廬山真面目	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不識高低	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不越雷池	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不足為外人道	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不足為慮	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不足輕重	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不足齒數	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不辨菽麥	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不辭勞苦	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不辯菽麥	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不近人情	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不速之客	n	chengyu		china-idiom+agent	nominal-slot-or-referent	high	accept	conservative syntax review
不遠千里	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不遺餘力	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不避斧鉞	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不關痛癢	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不露聲色	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
不顧前後	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
世外桃源	n	chengyu		china-idiom+agent	nominal-slot-or-referent	high	accept	conservative syntax review
丟三拉四	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
丟三落四	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
中流砥柱	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
中西合璧	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
串親訪友	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
久假不歸	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
久聞大名	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
之乎者也	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
乘堅策肥	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
九天攬月	u	chengyu		china-idiom+agent	insufficient-syntax-evidence	low	accept	conservative syntax review
