literal	pos	family	voice	note	trust	stratum	verdict	fix_pos	fix_family	fix_voice	audit_note
巴巴多斯	a,r	idiom		no-source;fallback;p2-idiom:AABC;p2-idiom-heuristic;u-repair:aabc-u;review	high	u-repair|gate	BAD	n			國名 Barbados；AABC 假陽；pos→n、清 family
忿忿不平	a,r	idiom		no-source;fallback;p2-idiom:AABC;p2-idiom-heuristic;u-repair:aabc-u;review	high	u-repair|gate	OK				stative a,r
息息相關	a,r	idiom		no-source;fallback;p2-idiom:AABC;p2-idiom-heuristic;u-repair:aabc-u;review	high	u-repair|gate	OK				stative a,r
憤憤不平	a,r	idiom		no-source;fallback;p2-idiom:AABC;p2-idiom-heuristic;u-repair:aabc-u;review	high	u-repair|gate	OK				stative a,r
振振有詞	a,r	idiom		no-source;fallback;p2-idiom:AABC;p2-idiom-heuristic;u-repair:aabc-u;review	high	u-repair|gate	OK				stative a,r
振振有辭	a,r	idiom		no-source;fallback;p2-idiom:AABC;p2-idiom-heuristic;u-repair:aabc-u;review	high	u-repair|gate	OK				stative a,r
搞掂	v			no-source;fallback;u-repair:canto-u-map;review	high	u-repair|gate	OK				粵語動
時時刻刻	a	idiom		no-source;fallback;p2-idiom:AABB;p2-idiom-heuristic;review;u-repair:aabb-u	high	u-repair|gate	SOFT				偏副 r；AABB mostly a 可
有備無患	a	idiom		no-source;fallback;p2-idiom:有無對;p2-idiom-heuristic;review;u-repair:youwu-u	high	u-repair|gate	OK				有無對 stative a
有始有終	a	idiom		no-source;fallback;p2-idiom:ABAC;p2-idiom-heuristic;u-repair:youwu-u;review	high	u-repair|gate	OK				有無對／ABAC stative a
有恃無恐	a	idiom		no-source;fallback;p2-idiom:有無對;p2-idiom-heuristic;review;u-repair:youwu-u	high	u-repair|gate	OK				有無對 stative a
歲歲平安	a,r	idiom		no-source;fallback;p2-idiom:AABC;p2-idiom-heuristic;u-repair:aabc-u;review	high	u-repair|gate	OK				祝語／情狀 a,r
洋洋自得	a,r	idiom		no-source;fallback;p2-idiom:AABC;p2-idiom-heuristic;u-repair:aabc-u;review	high	u-repair|gate	OK				stative a,r
源源不絕	a,r	idiom		no-source;fallback;p2-idiom:AABC;p2-idiom-heuristic;u-repair:aabc-u;review	high	u-repair|gate	OK				stative a,r
溝溝坎坎	a	idiom		no-source;fallback;p2-idiom:AABB;p2-idiom-heuristic;review;u-repair:aabb-u	high	u-repair|gate	SOFT				可名物 n；AABB a 情狀可
無怨無悔	a	idiom		no-source;fallback;p2-idiom:ABAC;p2-idiom-heuristic;u-repair:youwu-u;review	high	u-repair|gate	OK				ABAC stative a
無私有弊	a	idiom		no-source;fallback;p2-idiom:有無對;p2-idiom-heuristic;review;u-repair:youwu-u	high	u-repair|gate	OK				有無對 stative a
爸爸媽媽	a			no-source;p3;fallback;u-repair:aabb-u;review	high	u-repair|gate	BAD	n			親屬並列名；aabb-u 假 a 會毒同形閘
男男女女	a	idiom		no-source;fallback;p2-idiom:AABB;p2-idiom-heuristic;review;u-repair:aabb-u	high	u-repair|gate	BAD	n	idiom		人稱集合名；同 風風雨雨→n；a 假陽會毒同形閘
着	v,x			no-source;fallback;u-repair:canto-u-map;review	high	u-repair|gate	OK				動＋助／虛
磕磕巴巴	a	idiom		no-source;fallback;p2-idiom:AABB;p2-idiom-heuristic;review;u-repair:aabb-u	high	u-repair|gate	OK				AABB stative a
紛紛揚揚	a	idiom		no-source;fallback;p2-idiom:AABB;p2-idiom-heuristic;review;u-repair:aabb-u	high	u-repair|gate	OK				AABB a
縫縫連連	a	idiom		no-source;fallback;p2-idiom:AABB;p2-idiom-heuristic;review;u-repair:aabb-u	high	u-repair|gate	OK				AABB mostly a
草草了事	a,r	idiom		no-source;fallback;p2-idiom:AABC;p2-idiom-heuristic;u-repair:aabc-u;review	high	u-repair|gate	SOFT				偏動；情狀 a,r 閘可
蝦蝦霸霸	a	idiom		no-source;fallback;p2-idiom:AABB;p2-idiom-heuristic;review;u-repair:aabb-u	high	u-repair|gate	OK				粵 AABB 形
躍躍欲試	a,r	idiom		no-source;fallback;p2-idiom:AABC;p2-idiom-heuristic;u-repair:aabc-u;review	high	u-repair|gate	OK				stative a,r
遙遙領先	a,r	idiom		no-source;fallback;p2-idiom:AABC;p2-idiom-heuristic;u-repair:aabc-u;review	high	u-repair|gate	OK				形／副 a,r
遮遮掩掩	a	idiom		no-source;fallback;p2-idiom:AABB;p2-idiom-heuristic;review;u-repair:aabb-u	high	u-repair|gate	OK				AABB a
閃閃縮縮	a	idiom		no-source;fallback;p2-idiom:AABB;p2-idiom-heuristic;review;u-repair:aabb-u	high	u-repair|gate	OK				AABB a
靚仔	a,n			no-source;fallback;u-repair:canto-u-map;review	high	u-repair|gate	OK				形＋名 true dual
靚女	a,n			no-source;fallback;u-repair:canto-u-map;review	high	u-repair|gate	OK				形＋名 true dual
高高興興	a	idiom		no-source;fallback;p2-idiom:AABB;p2-idiom-heuristic;review;u-repair:aabb-u	high	u-repair|gate	OK				AABB stative a
